<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26205RMFS3,D,04/01/16,00:00:00,91.9803000,92.3500000,91.9500000,92.3500000,9
SU26205RMFS3,D,05/01/16,00:00:00,92.2500000,92.5000000,92.2500000,92.3500000,9
SU26205RMFS3,D,06/01/16,00:00:00,92.3500000,92.3500000,91.3500000,92.0999000,5
SU26205RMFS3,D,11/01/16,00:00:00,91.7498000,91.7498000,90.1700000,90.4499000,227436
SU26205RMFS3,D,12/01/16,00:00:00,89.1504000,90.5499000,89.1504000,89.2510000,277619
SU26205RMFS3,D,13/01/16,00:00:00,89.4500000,89.8497000,89.1508000,89.5398000,175228
SU26205RMFS3,D,14/01/16,00:00:00,89.1508000,89.5999000,89.0000000,89.3992000,167433
SU26205RMFS3,D,15/01/16,00:00:00,89.1500000,89.6500000,88.3002000,88.7499000,114765
SU26205RMFS3,D,18/01/16,00:00:00,88.7600000,88.9998000,88.2600000,88.7400000,98623
SU26205RMFS3,D,19/01/16,00:00:00,88.7680000,89.7500000,88.7680000,89.3997000,478518
SU26205RMFS3,D,20/01/16,00:00:00,89.5000000,89.5000000,88.2101000,88.2501000,36187
SU26205RMFS3,D,21/01/16,00:00:00,88.1900000,88.3999000,87.0701000,88.3730000,26134
SU26205RMFS3,D,22/01/16,00:00:00,89.3499000,89.4998000,88.1001000,89.4699000,21744
SU26205RMFS3,D,25/01/16,00:00:00,89.5800000,89.9500000,89.1000000,89.1002000,5486
SU26205RMFS3,D,26/01/16,00:00:00,89.1275000,89.5001000,88.9050000,89.5001000,102043
SU26205RMFS3,D,27/01/16,00:00:00,89.2001000,90.2250000,89.2001000,90.1500000,116132
SU26205RMFS3,D,28/01/16,00:00:00,89.7003000,91.2665000,89.7003000,90.5515000,40618
SU26205RMFS3,D,29/01/16,00:00:00,90.7141000,91.3998000,90.2500000,90.7497000,304767
SU26205RMFS3,D,01/02/16,00:00:00,90.7000000,90.7000000,89.7020000,89.7020000,48458
SU26205RMFS3,D,02/02/16,00:00:00,89.6801000,90.0799000,89.4000000,89.6500000,159388
