<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CNYCB,D,09/10/18,00:00:00,9.6863500,9.6863500,9.6863500,9.6863500,0
CNYCB,D,10/10/18,00:00:00,9.5883600,9.5883600,9.5883600,9.5883600,0
CNYCB,D,11/10/18,00:00:00,9.5650100,9.5650100,9.5650100,9.5650100,0
CNYCB,D,12/10/18,00:00:00,9.6397600,9.6397600,9.6397600,9.6397600,0
CNYCB,D,13/10/18,00:00:00,9.5295700,9.5295700,9.5295700,9.5295700,0
CNYCB,D,16/10/18,00:00:00,9.4919600,9.4919600,9.4919600,9.4919600,0
CNYCB,D,17/10/18,00:00:00,9.4713700,9.4713700,9.4713700,9.4713700,0
CNYCB,D,18/10/18,00:00:00,9.4446900,9.4446900,9.4446900,9.4446900,0
CNYCB,D,19/10/18,00:00:00,9.4689200,9.4689200,9.4689200,9.4689200,0
CNYCB,D,20/10/18,00:00:00,9.4936800,9.4936800,9.4936800,9.4936800,0
CNYCB,D,23/10/18,00:00:00,9.4146400,9.4146400,9.4146400,9.4146400,0
CNYCB,D,24/10/18,00:00:00,9.4146100,9.4146100,9.4146100,9.4146100,0
CNYCB,D,25/10/18,00:00:00,9.4564900,9.4564900,9.4564900,9.4564900,0
CNYCB,D,26/10/18,00:00:00,9.4604900,9.4604900,9.4604900,9.4604900,0
CNYCB,D,27/10/18,00:00:00,9.4461200,9.4461200,9.4461200,9.4461200,0
CNYCB,D,30/10/18,00:00:00,9.4617200,9.4617200,9.4617200,9.4617200,0
CNYCB,D,31/10/18,00:00:00,9.4486900,9.4486900,9.4486900,9.4486900,0
CNYCB,D,01/11/18,00:00:00,9.4062300,9.4062300,9.4062300,9.4062300,0
CNYCB,D,02/11/18,00:00:00,9.4453400,9.4453400,9.4453400,9.4453400,0
CNYCB,D,03/11/18,00:00:00,9.5177100,9.5177100,9.5177100,9.5177100,0
CNYCB,D,07/11/18,00:00:00,9.5396100,9.5396100,9.5396100,9.5396100,0
CNYCB,D,08/11/18,00:00:00,9.5429800,9.5429800,9.5429800,9.5429800,0
CNYCB,D,09/11/18,00:00:00,9.5562900,9.5562900,9.5562900,9.5562900,0
CNYCB,D,10/11/18,00:00:00,9.6264200,9.6264200,9.6264200,9.6264200,0
CNYCB,D,13/11/18,00:00:00,9.6919500,9.6919500,9.6919500,9.6919500,0
CNYCB,D,14/11/18,00:00:00,9.7338200,9.7338200,9.7338200,9.7338200,0
CNYCB,D,15/11/18,00:00:00,9.7824100,9.7824100,9.7824100,9.7824100,0
CNYCB,D,16/11/18,00:00:00,9.6046500,9.6046500,9.6046500,9.6046500,0
CNYCB,D,17/11/18,00:00:00,9.4986900,9.4986900,9.4986900,9.4986900,0
CNYCB,D,20/11/18,00:00:00,9.5070100,9.5070100,9.5070100,9.5070100,0
CNYCB,D,21/11/18,00:00:00,9.4519500,9.4519500,9.4519500,9.4519500,0
CNYCB,D,22/11/18,00:00:00,9.5033500,9.5033500,9.5033500,9.5033500,0
CNYCB,D,23/11/18,00:00:00,9.4596900,9.4596900,9.4596900,9.4596900,0
CNYCB,D,24/11/18,00:00:00,9.4595600,9.4595600,9.4595600,9.4595600,0
CNYCB,D,27/11/18,00:00:00,9.5896600,9.5896600,9.5896600,9.5896600,0
CNYCB,D,28/11/18,00:00:00,9.6105700,9.6105700,9.6105700,9.6105700,0
CNYCB,D,29/11/18,00:00:00,9.6233100,9.6233100,9.6233100,9.6233100,0
CNYCB,D,30/11/18,00:00:00,9.5937300,9.5937300,9.5937300,9.5937300,0
CNYCB,D,01/12/18,00:00:00,9.5815800,9.5815800,9.5815800,9.5815800,0
CNYCB,D,04/12/18,00:00:00,9.6237300,9.6237300,9.6237300,9.6237300,0
CNYCB,D,05/12/18,00:00:00,9.7094600,9.7094600,9.7094600,9.7094600,0
CNYCB,D,06/12/18,00:00:00,9.7331900,9.7331900,9.7331900,9.7331900,0
CNYCB,D,07/12/18,00:00:00,9.6941900,9.6941900,9.6941900,9.6941900,0
CNYCB,D,08/12/18,00:00:00,9.7270000,9.7270000,9.7270000,9.7270000,0
CNYCB,D,11/12/18,00:00:00,9.5807900,9.5807900,9.5807900,9.5807900,0
CNYCB,D,12/12/18,00:00:00,9.6394000,9.6394000,9.6394000,9.6394000,0
CNYCB,D,13/12/18,00:00:00,9.6418200,9.6418200,9.6418200,9.6418200,0
CNYCB,D,14/12/18,00:00:00,9.6453700,9.6453700,9.6453700,9.6453700,0
CNYCB,D,15/12/18,00:00:00,9.6319800,9.6319800,9.6319800,9.6319800,0
CNYCB,D,18/12/18,00:00:00,9.6537900,9.6537900,9.6537900,9.6537900,0
CNYCB,D,19/12/18,00:00:00,9.6788600,9.6788600,9.6788600,9.6788600,0
CNYCB,D,20/12/18,00:00:00,9.7326000,9.7326000,9.7326000,9.7326000,0
CNYCB,D,21/12/18,00:00:00,9.7674500,9.7674500,9.7674500,9.7674500,0
CNYCB,D,22/12/18,00:00:00,9.8533100,9.8533100,9.8533100,9.8533100,0
CNYCB,D,25/12/18,00:00:00,9.9194200,9.9194200,9.9194200,9.9194200,0
CNYCB,D,26/12/18,00:00:00,9.9828400,9.9828400,9.9828400,9.9828400,0
CNYCB,D,27/12/18,00:00:00,10.0092000,10.0092000,10.0092000,10.0092000,0
CNYCB,D,28/12/18,00:00:00,10.0211000,10.0211000,10.0211000,10.0211000,0
CNYCB,D,29/12/18,00:00:00,10.1277000,10.1277000,10.1277000,10.1277000,0
CNYCB,D,30/12/18,00:00:00,10.0997000,10.0997000,10.0997000,10.0997000,0
CNYCB,D,10/01/19,00:00:00,9.8149800,9.8149800,9.8149800,9.8149800,0
CNYCB,D,11/01/19,00:00:00,9.8621600,9.8621600,9.8621600,9.8621600,0
CNYCB,D,12/01/19,00:00:00,9.9149100,9.9149100,9.9149100,9.9149100,0
CNYCB,D,15/01/19,00:00:00,9.9431800,9.9431800,9.9431800,9.9431800,0
CNYCB,D,16/01/19,00:00:00,9.9329200,9.9329200,9.9329200,9.9329200,0
CNYCB,D,17/01/19,00:00:00,9.8825700,9.8825700,9.8825700,9.8825700,0
CNYCB,D,18/01/19,00:00:00,9.8093700,9.8093700,9.8093700,9.8093700,0
CNYCB,D,19/01/19,00:00:00,9.7973400,9.7973400,9.7973400,9.7973400,0
CNYCB,D,22/01/19,00:00:00,9.7735500,9.7735500,9.7735500,9.7735500,0
CNYCB,D,23/01/19,00:00:00,9.7716600,9.7716600,9.7716600,9.7716600,0
CNYCB,D,24/01/19,00:00:00,9.7713500,9.7713500,9.7713500,9.7713500,0
CNYCB,D,25/01/19,00:00:00,9.7139700,9.7139700,9.7139700,9.7139700,0
CNYCB,D,26/01/19,00:00:00,9.7464200,9.7464200,9.7464200,9.7464200,0
CNYCB,D,29/01/19,00:00:00,9.7826200,9.7826200,9.7826200,9.7826200,0
CNYCB,D,30/01/19,00:00:00,9.8559200,9.8559200,9.8559200,9.8559200,0
CNYCB,D,31/01/19,00:00:00,9.8468100,9.8468100,9.8468100,9.8468100,0
CNYCB,D,01/02/19,00:00:00,9.7481900,9.7481900,9.7481900,9.7481900,0
CNYCB,D,02/02/19,00:00:00,9.7466300,9.7466300,9.7466300,9.7466300,0
CNYCB,D,05/02/19,00:00:00,9.7239200,9.7239200,9.7239200,9.7239200,0
CNYCB,D,06/02/19,00:00:00,9.7214300,9.7214300,9.7214300,9.7214300,0
CNYCB,D,07/02/19,00:00:00,9.7361800,9.7361800,9.7361800,9.7361800,0
CNYCB,D,08/02/19,00:00:00,9.7882700,9.7882700,9.7882700,9.7882700,0
CNYCB,D,09/02/19,00:00:00,9.7946300,9.7946300,9.7946300,9.7946300,0
CNYCB,D,12/02/19,00:00:00,9.6830000,9.6830000,9.6830000,9.6830000,0
CNYCB,D,13/02/19,00:00:00,9.6934300,9.6934300,9.6934300,9.6934300,0
CNYCB,D,14/02/19,00:00:00,9.7168700,9.7168700,9.7168700,9.7168700,0
CNYCB,D,15/02/19,00:00:00,9.8287900,9.8287900,9.8287900,9.8287900,0
CNYCB,D,16/02/19,00:00:00,9.8385500,9.8385500,9.8385500,9.8385500,0
CNYCB,D,19/02/19,00:00:00,9.7889900,9.7889900,9.7889900,9.7889900,0
CNYCB,D,20/02/19,00:00:00,9.7819400,9.7819400,9.7819400,9.7819400,0
CNYCB,D,21/02/19,00:00:00,9.7951600,9.7951600,9.7951600,9.7951600,0
CNYCB,D,22/02/19,00:00:00,9.7663600,9.7663600,9.7663600,9.7663600,0
CNYCB,D,23/02/19,00:00:00,9.7512700,9.7512700,9.7512700,9.7512700,0
CNYCB,D,26/02/19,00:00:00,9.7484700,9.7484700,9.7484700,9.7484700,0
CNYCB,D,27/02/19,00:00:00,9.7994700,9.7994700,9.7994700,9.7994700,0
CNYCB,D,28/02/19,00:00:00,9.8395900,9.8395900,9.8395900,9.8395900,0
CNYCB,D,01/03/19,00:00:00,9.8544000,9.8544000,9.8544000,9.8544000,0
CNYCB,D,02/03/19,00:00:00,9.8113400,9.8113400,9.8113400,9.8113400,0
CNYCB,D,05/03/19,00:00:00,9.8217000,9.8217000,9.8217000,9.8217000,0
CNYCB,D,06/03/19,00:00:00,9.8145100,9.8145100,9.8145100,9.8145100,0
CNYCB,D,07/03/19,00:00:00,9.8110600,9.8110600,9.8110600,9.8110600,0
CNYCB,D,08/03/19,00:00:00,9.8351900,9.8351900,9.8351900,9.8351900,0
CNYCB,D,12/03/19,00:00:00,9.8241600,9.8241600,9.8241600,9.8241600,0
CNYCB,D,13/03/19,00:00:00,9.7989200,9.7989200,9.7989200,9.7989200,0
CNYCB,D,14/03/19,00:00:00,9.7758300,9.7758300,9.7758300,9.7758300,0
CNYCB,D,15/03/19,00:00:00,9.7366600,9.7366600,9.7366600,9.7366600,0
CNYCB,D,16/03/19,00:00:00,9.7455800,9.7455800,9.7455800,9.7455800,0
CNYCB,D,19/03/19,00:00:00,9.6350400,9.6350400,9.6350400,9.6350400,0
CNYCB,D,20/03/19,00:00:00,9.5779200,9.5779200,9.5779200,9.5779200,0
CNYCB,D,21/03/19,00:00:00,9.5942200,9.5942200,9.5942200,9.5942200,0
CNYCB,D,22/03/19,00:00:00,9.5313700,9.5313700,9.5313700,9.5313700,0
CNYCB,D,23/03/19,00:00:00,9.5098900,9.5098900,9.5098900,9.5098900,0
CNYCB,D,26/03/19,00:00:00,9.6099800,9.6099800,9.6099800,9.6099800,0
CNYCB,D,27/03/19,00:00:00,9.5599500,9.5599500,9.5599500,9.5599500,0
CNYCB,D,28/03/19,00:00:00,9.6099800,9.6099800,9.6099800,9.6099800,0
CNYCB,D,29/03/19,00:00:00,9.6305700,9.6305700,9.6305700,9.6305700,0
CNYCB,D,30/03/19,00:00:00,9.6321400,9.6321400,9.6321400,9.6321400,0
CNYCB,D,02/04/19,00:00:00,9.7479600,9.7479600,9.7479600,9.7479600,0
CNYCB,D,03/04/19,00:00:00,9.7409200,9.7409200,9.7409200,9.7409200,0
CNYCB,D,04/04/19,00:00:00,9.7145000,9.7145000,9.7145000,9.7145000,0
CNYCB,D,05/04/19,00:00:00,9.7239000,9.7239000,9.7239000,9.7239000,0
CNYCB,D,06/04/19,00:00:00,9.7369800,9.7369800,9.7369800,9.7369800,0
CNYCB,D,09/04/19,00:00:00,9.7243800,9.7243800,9.7243800,9.7243800,0
CNYCB,D,10/04/19,00:00:00,9.6495700,9.6495700,9.6495700,9.6495700,0
CNYCB,D,11/04/19,00:00:00,9.6378300,9.6378300,9.6378300,9.6378300,0
CNYCB,D,12/04/19,00:00:00,9.5880500,9.5880500,9.5880500,9.5880500,0
CNYCB,D,13/04/19,00:00:00,9.6073400,9.6073400,9.6073400,9.6073400,0
CNYCB,D,16/04/19,00:00:00,9.5803700,9.5803700,9.5803700,9.5803700,0
CNYCB,D,17/04/19,00:00:00,9.5773800,9.5773800,9.5773800,9.5773800,0
CNYCB,D,18/04/19,00:00:00,9.5633000,9.5633000,9.5633000,9.5633000,0
CNYCB,D,19/04/19,00:00:00,9.5560900,9.5560900,9.5560900,9.5560900,0
CNYCB,D,20/04/19,00:00:00,9.5416000,9.5416000,9.5416000,9.5416000,0
CNYCB,D,23/04/19,00:00:00,9.5022900,9.5022900,9.5022900,9.5022900,0
CNYCB,D,24/04/19,00:00:00,9.4943400,9.4943400,9.4943400,9.4943400,0
CNYCB,D,25/04/19,00:00:00,9.5240600,9.5240600,9.5240600,9.5240600,0
CNYCB,D,26/04/19,00:00:00,9.5925100,9.5925100,9.5925100,9.5925100,0
CNYCB,D,27/04/19,00:00:00,9.6026100,9.6026100,9.6026100,9.6026100,0
CNYCB,D,30/04/19,00:00:00,9.6050200,9.6050200,9.6050200,9.6050200,0
CNYCB,D,01/05/19,00:00:00,9.5929300,9.5929300,9.5929300,9.5929300,0
CNYCB,D,07/05/19,00:00:00,9.6559400,9.6559400,9.6559400,9.6559400,0
CNYCB,D,08/05/19,00:00:00,9.6460000,9.6460000,9.6460000,9.6460000,0
CNYCB,D,09/05/19,00:00:00,9.6331100,9.6331100,9.6331100,9.6331100,0
CNYCB,D,14/05/19,00:00:00,9.5264200,9.5264200,9.5264200,9.5264200,0
CNYCB,D,15/05/19,00:00:00,9.4841300,9.4841300,9.4841300,9.4841300,0
CNYCB,D,16/05/19,00:00:00,9.4361400,9.4361400,9.4361400,9.4361400,0
CNYCB,D,17/05/19,00:00:00,9.3804200,9.3804200,9.3804200,9.3804200,0
CNYCB,D,18/05/19,00:00:00,9.3491700,9.3491700,9.3491700,9.3491700,0
CNYCB,D,21/05/19,00:00:00,9.3264700,9.3264700,9.3264700,9.3264700,0
CNYCB,D,22/05/19,00:00:00,9.3303600,9.3303600,9.3303600,9.3303600,0
CNYCB,D,23/05/19,00:00:00,9.3318100,9.3318100,9.3318100,9.3318100,0
CNYCB,D,24/05/19,00:00:00,9.3217100,9.3217100,9.3217100,9.3217100,0
CNYCB,D,25/05/19,00:00:00,9.3572100,9.3572100,9.3572100,9.3572100,0
CNYCB,D,28/05/19,00:00:00,9.3471600,9.3471600,9.3471600,9.3471600,0
CNYCB,D,29/05/19,00:00:00,9.3352700,9.3352700,9.3352700,9.3352700,0
CNYCB,D,30/05/19,00:00:00,9.3938100,9.3938100,9.3938100,9.3938100,0
CNYCB,D,31/05/19,00:00:00,9.4227300,9.4227300,9.4227300,9.4227300,0
CNYCB,D,01/06/19,00:00:00,9.4721500,9.4721500,9.4721500,9.4721500,0
CNYCB,D,04/06/19,00:00:00,9.4878900,9.4878900,9.4878900,9.4878900,0
CNYCB,D,05/06/19,00:00:00,9.4256500,9.4256500,9.4256500,9.4256500,0
CNYCB,D,06/06/19,00:00:00,9.4258700,9.4258700,9.4258700,9.4258700,0
CNYCB,D,07/06/19,00:00:00,9.4316500,9.4316500,9.4316500,9.4316500,0
CNYCB,D,08/06/19,00:00:00,9.4127800,9.4127800,9.4127800,9.4127800,0
CNYCB,D,11/06/19,00:00:00,9.3457000,9.3457000,9.3457000,9.3457000,0
CNYCB,D,12/06/19,00:00:00,9.3311800,9.3311800,9.3311800,9.3311800,0
CNYCB,D,14/06/19,00:00:00,9.3372300,9.3372300,9.3372300,9.3372300,0
CNYCB,D,15/06/19,00:00:00,9.3059600,9.3059600,9.3059600,9.3059600,0
CNYCB,D,18/06/19,00:00:00,9.2877600,9.2877600,9.2877600,9.2877600,0
CNYCB,D,19/06/19,00:00:00,9.2884000,9.2884000,9.2884000,9.2884000,0
CNYCB,D,20/06/19,00:00:00,9.2670000,9.2670000,9.2670000,9.2670000,0
CNYCB,D,21/06/19,00:00:00,9.2531400,9.2531400,9.2531400,9.2531400,0
CNYCB,D,22/06/19,00:00:00,9.1830100,9.1830100,9.1830100,9.1830100,0
CNYCB,D,25/06/19,00:00:00,9.1447500,9.1447500,9.1447500,9.1447500,0
CNYCB,D,26/06/19,00:00:00,9.0868400,9.0868400,9.0868400,9.0868400,0
CNYCB,D,27/06/19,00:00:00,9.1215600,9.1215600,9.1215600,9.1215600,0
CNYCB,D,28/06/19,00:00:00,9.1676800,9.1676800,9.1676800,9.1676800,0
CNYCB,D,29/06/19,00:00:00,9.1823800,9.1823800,9.1823800,9.1823800,0
CNYCB,D,02/07/19,00:00:00,9.2121100,9.2121100,9.2121100,9.2121100,0
CNYCB,D,03/07/19,00:00:00,9.1868300,9.1868300,9.1868300,9.1868300,0
CNYCB,D,04/07/19,00:00:00,9.2235800,9.2235800,9.2235800,9.2235800,0
CNYCB,D,05/07/19,00:00:00,9.2279100,9.2279100,9.2279100,9.2279100,0
CNYCB,D,06/07/19,00:00:00,9.2447000,9.2447000,9.2447000,9.2447000,0
CNYCB,D,09/07/19,00:00:00,9.2835500,9.2835500,9.2835500,9.2835500,0
CNYCB,D,10/07/19,00:00:00,9.2614500,9.2614500,9.2614500,9.2614500,0
CNYCB,D,11/07/19,00:00:00,9.2720000,9.2720000,9.2720000,9.2720000,0
CNYCB,D,12/07/19,00:00:00,9.1741600,9.1741600,9.1741600,9.1741600,0
CNYCB,D,13/07/19,00:00:00,9.1619400,9.1619400,9.1619400,9.1619400,0
CNYCB,D,16/07/19,00:00:00,9.1371600,9.1371600,9.1371600,9.1371600,0
CNYCB,D,17/07/19,00:00:00,9.1339000,9.1339000,9.1339000,9.1339000,0
CNYCB,D,18/07/19,00:00:00,9.1492600,9.1492600,9.1492600,9.1492600,0
CNYCB,D,19/07/19,00:00:00,9.1391000,9.1391000,9.1391000,9.1391000,0
CNYCB,D,20/07/19,00:00:00,9.1427700,9.1427700,9.1427700,9.1427700,0
CNYCB,D,23/07/19,00:00:00,9.1535900,9.1535900,9.1535900,9.1535900,0
