"Date","Price","Open","High","Low","Change %"
"Jan 01, 2016","11.3040","11.3040","11.3040","11.3040","-0.01%"
"Jan 03, 2016","11.3040","11.3040","11.3040","11.3040","0.00%"
"Jan 04, 2016","11.2059","11.3040","11.3040","11.1623","-0.87%"
"Jan 05, 2016","11.2488","11.1894","11.2488","11.1894","0.38%"
"Jan 06, 2016","11.3884","11.2388","11.3884","11.1745","1.24%"
"Jan 07, 2016","11.3455","11.3777","11.4624","11.2386","-0.38%"
"Jan 08, 2016","11.3393","11.3455","11.3925","11.3393","-0.05%"
"Jan 10, 2016","11.3393","11.3393","11.3393","11.3393","0.00%"
"Jan 11, 2016","11.5734","11.3393","11.5734","11.3393","2.06%"
"Jan 12, 2016","11.6440","11.5734","11.7082","11.5402","0.61%"
"Jan 13, 2016","11.6017","11.6474","11.6572","11.5201","-0.36%"
"Jan 14, 2016","11.5947","11.5953","11.6556","11.5629","-0.06%"
"Jan 15, 2016","11.7915","11.5828","11.8132","11.5828","1.70%"
"Jan 17, 2016","11.8075","11.8075","11.8075","11.8075","0.14%"
"Jan 18, 2016","12.0636","11.8075","12.0716","11.8075","2.17%"
"Jan 19, 2016","11.9292","12.0636","12.0702","11.8714","-1.11%"
"Jan 20, 2016","12.4496","11.9503","12.4496","11.9484","4.36%"
"Jan 21, 2016","12.6056","12.4384","13.0476","12.4360","1.25%"
"Jan 22, 2016","11.9826","12.5995","12.6015","11.8537","-4.94%"
"Jan 24, 2016","11.9826","11.9826","11.9826","11.9826","0.00%"
"Jan 25, 2016","12.1356","11.9826","12.1789","11.6655","1.28%"
"Jan 26, 2016","11.8853","12.1356","12.5002","11.8853","-2.06%"
"Jan 27, 2016","11.8359","11.8853","12.0718","11.7760","-0.42%"
"Jan 28, 2016","11.6400","11.8359","11.8379","11.4816","-1.66%"
"Jan 29, 2016","11.4726","11.6438","11.6453","11.3506","-1.44%"
"Jan 31, 2016","11.4726","11.4726","11.4726","11.4726","0.00%"
"Feb 01, 2016","11.7453","11.4726","11.7453","11.4726","2.38%"
"Feb 02, 2016","12.1211","11.7453","12.1211","11.7431","3.20%"
"Feb 03, 2016","11.6945","12.1211","12.1303","11.6630","-3.52%"
"Feb 04, 2016","11.6929","11.6903","11.7331","11.5079","-0.01%"
"Feb 05, 2016","11.7970","11.7152","11.8189","11.6314","0.89%"
"Feb 07, 2016","11.7871","11.7871","11.7871","11.7871","-0.08%"
"Feb 08, 2016","11.9520","11.7871","12.0269","11.6294","1.40%"
"Feb 09, 2016","12.1251","11.9489","12.1593","11.8826","1.45%"
"Feb 10, 2016","11.9550","12.1250","12.1250","11.8290","-1.40%"
"Feb 11, 2016","12.1295","11.9629","12.2577","11.9629","1.46%"
"Feb 12, 2016","11.9113","12.1072","12.1358","11.8900","-1.80%"
"Feb 14, 2016","11.9192","11.9192","11.9192","11.9192","0.07%"
"Feb 15, 2016","11.8501","11.9192","12.0570","11.8446","-0.58%"
"Feb 16, 2016","11.9334","11.8501","11.9815","11.6680","0.70%"
"Feb 17, 2016","11.5007","11.9516","11.9960","11.4459","-3.63%"
"Feb 18, 2016","11.7093","11.4946","11.7334","11.4946","1.81%"
"Feb 19, 2016","11.7999","11.7242","11.9426","11.6670","0.77%"
"Feb 21, 2016","11.8124","11.8124","11.8124","11.8124","0.11%"
"Feb 22, 2016","11.5441","11.8124","11.8124","11.4964","-2.27%"
"Feb 23, 2016","11.5399","11.5530","11.5530","11.5399","-0.04%"
"Feb 24, 2016","11.5892","11.5436","11.8645","11.5330","0.43%"
"Feb 25, 2016","11.5366","11.5961","11.7268","11.5091","-0.45%"
"Feb 26, 2016","11.6588","11.5350","11.6825","11.3981","1.06%"
"Feb 28, 2016","11.6489","11.6489","11.6489","11.6489","-0.08%"
"Feb 29, 2016","11.4835","11.6489","11.6503","11.4274","-1.42%"
"Mar 01, 2016","11.1960","11.4691","11.4929","11.1704","-2.50%"
"Mar 02, 2016","11.1476","11.1984","11.3279","11.1476","-0.43%"
"Mar 03, 2016","11.1875","11.1476","11.3178","11.1476","0.36%"
"Mar 04, 2016","11.0716","11.2014","11.2611","11.0290","-1.04%"
"Mar 06, 2016","11.0681","11.0681","11.0681","11.0681","-0.03%"
"Mar 07, 2016","10.9624","11.0681","11.0891","10.9164","-0.95%"
"Mar 08, 2016","10.9927","10.9683","10.9927","10.9683","0.28%"
"Mar 09, 2016","10.9203","10.9887","11.1522","10.8697","-0.66%"
"Mar 10, 2016","10.9915","10.9182","11.0435","10.7409","0.65%"
"Mar 11, 2016","10.7675","10.9746","11.0089","10.6923","-2.04%"
"Mar 13, 2016","10.7646","10.7646","10.7646","10.7646","-0.03%"
"Mar 14, 2016","10.7690","10.7646","10.9208","10.7234","0.04%"
"Mar 15, 2016","10.9045","10.7657","10.9518","10.7508","1.26%"
"Mar 16, 2016","10.6216","10.9060","10.9240","10.5997","-2.59%"
"Mar 17, 2016","10.5194","10.6062","10.6462","10.4932","-0.96%"
"Mar 18, 2016","10.5691","10.5136","10.6076","10.3956","0.47%"
"Mar 20, 2016","10.5647","10.5647","10.5647","10.5647","-0.04%"
"Mar 21, 2016","10.4474","10.5647","10.6800","10.4211","-1.11%"
"Mar 22, 2016","10.3991","10.4609","10.5084","10.3547","-0.46%"
"Mar 23, 2016","10.5669","10.3991","10.5669","10.3846","1.61%"
"Mar 24, 2016","10.5271","10.5626","10.6911","10.4824","-0.38%"
"Mar 25, 2016","10.5145","10.5239","10.5390","10.4126","-0.12%"
"Mar 27, 2016","10.4847","10.5065","10.5065","10.4847","-0.28%"
"Mar 28, 2016","10.5490","10.4855","10.5953","10.3998","0.61%"
"Mar 29, 2016","10.4580","10.5362","10.6344","10.4551","-0.86%"
"Mar 30, 2016","10.5509","10.4657","10.5729","10.3807","0.89%"
"Mar 31, 2016","10.3927","10.5558","10.5567","10.3394","-1.50%"
"Apr 01, 2016","10.4223","10.3937","10.5646","10.3604","0.28%"
"Apr 03, 2016","10.4321","10.4321","10.4321","10.4321","0.09%"
"Apr 04, 2016","10.6113","10.4321","10.6113","10.4321","1.72%"
"Apr 05, 2016","10.5842","10.6113","10.7249","10.5842","-0.26%"
"Apr 06, 2016","10.4240","10.5857","10.6118","10.4240","-1.51%"
"Apr 07, 2016","10.5262","10.4317","10.5764","10.4317","0.98%"
"Apr 08, 2016","10.3755","10.5205","10.5205","10.3499","-1.43%"
"Apr 10, 2016","10.3817","10.3817","10.3817","10.3817","0.06%"
"Apr 11, 2016","10.3202","10.3817","10.4113","10.2753","-0.59%"
"Apr 12, 2016","10.1607","10.3402","10.3402","10.0822","-1.55%"
"Apr 13, 2016","10.2417","10.1643","10.2417","10.0828","0.80%"
"Apr 14, 2016","10.2112","10.2336","10.2713","10.1479","-0.30%"
"Apr 15, 2016","10.2545","10.2021","10.2930","10.1626","0.42%"
"Apr 17, 2016","10.2546","10.2546","10.2546","10.2546","0.00%"
"Apr 18, 2016","10.2033","10.2546","10.6087","10.2033","-0.50%"
"Apr 19, 2016","10.2088","10.2058","10.2610","10.1153","0.05%"
"Apr 20, 2016","10.0874","10.1972","10.2755","10.0656","-1.19%"
"Apr 21, 2016","10.3231","10.0744","10.3231","9.9839","2.34%"
"Apr 22, 2016","10.2327","10.3108","10.3146","10.0912","-0.88%"
"Apr 24, 2016","10.2260","10.2260","10.2260","10.2260","-0.07%"
"Apr 25, 2016","10.2433","10.2260","10.2876","10.1490","0.17%"
"Apr 26, 2016","10.0381","10.2522","10.2617","10.0381","-2.00%"
"Apr 27, 2016","10.0267","10.0381","10.1573","10.0153","-0.11%"
"Apr 28, 2016","9.9850","10.0281","10.0807","9.9132","-0.42%"
"Apr 29, 2016","9.9903","9.9910","10.0191","9.8664","0.05%"
"May 01, 2016","9.9866","9.9866","9.9866","9.9866","-0.04%"
"May 02, 2016","9.9866","9.9866","9.9866","9.9866","0.00%"
"May 03, 2016","9.9594","9.9866","9.9908","9.9594","-0.27%"
"May 04, 2016","10.2463","9.9594","10.2704","9.9451","2.88%"
"May 05, 2016","10.1285","10.2439","10.2439","10.0278","-1.15%"
"May 06, 2016","10.1315","10.1271","10.2416","10.0860","0.03%"
"May 08, 2016","10.1454","10.1454","10.1454","10.1454","0.14%"
"May 09, 2016","10.1194","10.1454","10.1454","10.1194","-0.26%"
"May 10, 2016","10.1600","10.1194","10.2266","10.1105","0.40%"
"May 11, 2016","10.0213","10.1692","10.1909","9.9998","-1.37%"
"May 12, 2016","9.9488","10.0111","10.0530","9.9117","-0.72%"
"May 13, 2016","10.0178","9.9586","10.0420","9.9296","0.69%"
"May 15, 2016","10.0206","10.0206","10.0206","10.0206","0.03%"
"May 16, 2016","9.9374","10.0206","10.0310","9.9081","-0.83%"
"May 17, 2016","9.9204","9.9490","9.9647","9.8842","-0.17%"
"May 18, 2016","10.1045","9.9295","10.1045","9.9051","1.86%"
"May 19, 2016","10.1901","10.0921","10.2793","10.0822","0.85%"
"May 20, 2016","10.2055","10.1999","10.2249","10.1311","0.15%"
"May 22, 2016","10.2011","10.2011","10.2011","10.2011","-0.04%"
"May 23, 2016","10.1838","10.2011","10.2622","10.1838","-0.17%"
"May 24, 2016","10.0838","10.1936","10.2405","10.0838","-0.98%"
"May 25, 2016","9.9880","10.0927","10.0927","9.9612","-0.95%"
"May 26, 2016","10.0403","9.9931","10.0488","9.9196","0.52%"
"May 27, 2016","10.0692","10.0373","10.1127","10.0263","0.29%"
"May 29, 2016","10.0737","10.0737","10.0737","10.0737","0.04%"
"May 30, 2016","9.9899","10.0737","10.0737","9.9691","-0.83%"
"May 31, 2016","10.1232","9.9941","10.1682","9.9909","1.33%"
"Jun 01, 2016","10.1883","10.1318","10.2356","10.0942","0.64%"
"Jun 02, 2016","10.1821","10.2054","10.2800","10.1300","-0.06%"
"Jun 03, 2016","9.9950","10.1712","10.1945","9.9950","-1.84%"
"Jun 05, 2016","9.9950","9.9950","9.9950","9.9950","0.00%"
"Jun 06, 2016","9.9414","9.9950","10.0493","9.9215","-0.54%"
"Jun 07, 2016","9.8402","9.9438","9.9545","9.8203","-1.02%"
"Jun 08, 2016","9.6988","9.8324","9.8610","9.6709","-1.44%"
"Jun 09, 2016","9.7927","9.6934","9.8246","9.6659","0.97%"
"Jun 10, 2016","9.9417","9.8044","9.9623","9.7783","1.52%"
"Jun 12, 2016","9.9467","9.9467","9.9467","9.9467","0.05%"
"Jun 13, 2016","9.9078","9.9467","9.9467","9.9078","-0.39%"
"Jun 14, 2016","10.0126","9.9109","10.0550","9.9060","1.06%"
"Jun 15, 2016","9.9644","10.0263","10.0310","9.8934","-0.48%"
"Jun 16, 2016","9.9843","9.9606","10.0239","9.9159","0.20%"
"Jun 17, 2016","9.8419","9.9766","9.9924","9.8216","-1.43%"
"Jun 19, 2016","9.8425","9.8425","9.8425","9.8425","0.01%"
"Jun 20, 2016","9.7707","9.8425","9.8549","9.6970","-0.73%"
"Jun 21, 2016","9.6754","9.7738","9.7900","9.6754","-0.98%"
"Jun 22, 2016","9.8559","9.6782","9.9016","9.6431","1.87%"
"Jun 23, 2016","9.6956","9.8640","9.8732","9.6956","-1.63%"
"Jun 24, 2016","9.8576","9.7046","9.9468","9.6408","1.67%"
"Jun 26, 2016","9.8573","9.8573","9.8573","9.8573","-0.00%"
"Jun 27, 2016","9.8228","9.8573","9.8686","9.7602","-0.35%"
"Jun 28, 2016","9.6477","9.8389","9.8449","9.6278","-1.78%"
"Jun 29, 2016","9.6192","9.6385","9.6981","9.5783","-0.30%"
"Jun 30, 2016","9.6175","9.6166","9.6926","9.5902","-0.02%"
"Jul 01, 2016","9.5864","9.6228","9.6465","9.5864","-0.32%"
"Jul 03, 2016","9.5864","9.5864","9.5864","9.5864","0.00%"
"Jul 04, 2016","9.5764","9.5864","9.6022","9.5570","-0.10%"
"Jul 05, 2016","9.6392","9.5913","9.6838","9.5851","0.66%"
"Jul 06, 2016","9.5902","9.6304","9.6858","9.5902","-0.51%"
"Jul 07, 2016","9.6700","9.5926","9.6905","9.5422","0.83%"
"Jul 08, 2016","9.5544","9.6635","9.6635","9.5267","-1.20%"
"Jul 10, 2016","9.5643","9.5643","9.5643","9.5643","0.10%"
"Jul 11, 2016","9.5790","9.5643","9.6119","9.5589","0.15%"
"Jul 12, 2016","9.5494","9.5903","9.6003","9.5301","-0.31%"
"Jul 13, 2016","9.5400","9.5525","9.5799","9.5217","-0.10%"
"Jul 14, 2016","9.4110","9.5479","9.5479","9.3907","-1.35%"
"Jul 15, 2016","9.4947","9.4001","9.4947","9.3986","0.89%"
"Jul 17, 2016","9.5173","9.4947","9.5173","9.4947","0.24%"
"Jul 18, 2016","9.3646","9.5112","9.5264","9.3646","-1.60%"
"Jul 19, 2016","9.5001","9.3746","9.5210","9.3697","1.45%"
"Jul 20, 2016","9.5506","9.4883","9.5728","9.4563","0.53%"
"Jul 21, 2016","9.6516","9.5508","9.6516","9.5251","1.06%"
"Jul 22, 2016","9.7136","9.6456","9.7333","9.6382","0.64%"
"Jul 24, 2016","9.6839","9.7178","9.7178","9.6839","-0.31%"
"Jul 25, 2016","9.7957","9.6892","9.8155","9.6740","1.15%"
"Jul 26, 2016","9.8868","9.7924","9.9680","9.7883","0.93%"
"Jul 27, 2016","9.8808","9.8856","9.9777","9.7975","-0.06%"
"Jul 28, 2016","10.0139","9.8842","10.0463","9.8803","1.35%"
"Jul 29, 2016","9.9333","10.0051","10.1002","9.9285","-0.80%"
"Jul 31, 2016","9.9401","9.9471","9.9560","9.9401","0.07%"
"Aug 01, 2016","10.0663","9.9413","10.0930","9.9208","1.27%"
"Aug 02, 2016","10.0530","10.0714","10.1011","9.9626","-0.13%"
"Aug 03, 2016","9.9860","10.0572","10.1061","9.9646","-0.67%"
"Aug 04, 2016","9.9027","9.9922","10.0241","9.8809","-0.83%"
"Aug 05, 2016","9.8488","9.9071","9.9147","9.7784","-0.54%"
"Aug 07, 2016","9.8120","9.8524","9.8524","9.8120","-0.37%"
"Aug 08, 2016","9.6995","9.8182","9.8450","9.6731","-1.15%"
"Aug 09, 2016","9.7318","9.7019","9.7740","9.6878","0.33%"
"Aug 10, 2016","9.7774","9.7346","9.7813","9.6771","0.47%"
"Aug 11, 2016","9.7005","9.7691","9.7965","9.6762","-0.79%"
"Aug 12, 2016","9.7713","9.7046","9.7945","9.6505","0.73%"
"Aug 14, 2016","9.7341","9.7595","9.8062","9.7341","-0.38%"
"Aug 15, 2016","9.6485","9.7417","9.7498","9.6270","-0.88%"
"Aug 16, 2016","9.6286","9.6491","9.6947","9.6024","-0.21%"
"Aug 17, 2016","9.6180","9.6275","9.7007","9.5977","-0.11%"
"Aug 18, 2016","9.6269","9.6217","9.6763","9.5669","0.09%"
"Aug 19, 2016","9.6003","9.6269","9.6437","9.5733","-0.28%"
"Aug 21, 2016","9.6434","9.6114","9.7126","9.6114","0.45%"
"Aug 22, 2016","9.7531","9.6311","9.7531","9.5600","1.14%"
"Aug 23, 2016","9.7285","9.7481","9.7674","9.6748","-0.25%"
"Aug 24, 2016","9.7855","9.7265","9.8080","9.6976","0.59%"
"Aug 25, 2016","9.7208","9.7834","9.7978","9.7013","-0.66%"
"Aug 26, 2016","9.7160","9.7115","9.7394","9.6343","-0.05%"
"Aug 28, 2016","9.7091","9.7207","9.7207","9.7091","-0.07%"
"Aug 29, 2016","9.6908","9.7091","9.7605","9.6908","-0.19%"
"Aug 30, 2016","9.7617","9.6989","9.7820","9.6899","0.73%"
"Aug 31, 2016","9.7809","9.7675","9.8028","9.7506","0.20%"
"Sep 01, 2016","9.8743","9.7821","9.8943","9.7562","0.95%"
"Sep 02, 2016","9.7332","9.8851","9.8851","9.7332","-1.43%"
"Sep 04, 2016","9.7453","9.7419","9.7453","9.7408","0.12%"
"Sep 05, 2016","9.7591","9.7451","9.7591","9.6614","0.14%"
"Sep 06, 2016","9.6655","9.7475","9.7574","9.6284","-0.96%"
"Sep 07, 2016","9.6235","9.6723","9.7019","9.6235","-0.43%"
"Sep 08, 2016","9.5907","9.6268","9.6357","9.5437","-0.34%"
"Sep 09, 2016","9.6950","9.6015","9.6950","9.5737","1.09%"
"Sep 11, 2016","9.7029","9.7004","9.7029","9.6931","0.08%"
"Sep 12, 2016","9.6620","9.7020","9.7749","9.6217","-0.42%"
"Sep 13, 2016","9.7898","9.6697","9.8295","9.6636","1.32%"
"Sep 14, 2016","9.7583","9.7790","9.7974","9.7146","-0.32%"
