<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,03/01/16,00:00:00,37.8500000,38.4600000,37.7800000,38.3400000,3248
ICE.BRN,D,04/01/16,00:00:00,38.3300000,38.9900000,36.7700000,37.3300000,177195
ICE.BRN,D,05/01/16,00:00:00,37.2700000,37.5700000,36.2400000,36.5900000,164413
ICE.BRN,D,06/01/16,00:00:00,36.6400000,36.6700000,34.1300000,34.3800000,221868
ICE.BRN,D,07/01/16,00:00:00,34.5200000,34.7400000,32.1600000,33.7700000,180185
ICE.BRN,D,08/01/16,00:00:00,34.0200000,34.7200000,32.7800000,33.2600000,141595
ICE.BRN,D,10/01/16,00:00:00,33.3400000,33.3600000,32.9100000,32.9900000,381
ICE.BRN,D,11/01/16,00:00:00,32.9500000,33.7300000,31.5200000,31.6000000,155020
ICE.BRN,D,12/01/16,00:00:00,31.7700000,32.6900000,30.5000000,30.8300000,202482
ICE.BRN,D,13/01/16,00:00:00,31.2500000,31.8300000,29.9400000,30.2400000,250587
ICE.BRN,D,14/01/16,00:00:00,30.2300000,31.1900000,29.7000000,31.1000000,219498
ICE.BRN,D,15/01/16,00:00:00,31.0000000,31.0200000,28.8200000,29.1100000,223796
ICE.BRN,D,17/01/16,00:00:00,28.7300000,28.8000000,27.6700000,28.1300000,3629
ICE.BRN,D,18/01/16,00:00:00,28.1500000,29.5700000,27.9900000,28.7400000,126746
ICE.BRN,D,19/01/16,00:00:00,28.7000000,30.2400000,28.6000000,28.7300000,202176
ICE.BRN,D,20/01/16,00:00:00,28.6600000,28.7500000,27.1000000,27.7900000,203548
ICE.BRN,D,21/01/16,00:00:00,27.9900000,29.8400000,27.2900000,29.7200000,273127
ICE.BRN,D,22/01/16,00:00:00,29.6200000,32.3000000,29.2900000,32.0800000,240280
ICE.BRN,D,25/01/16,00:00:00,32.6900000,32.8100000,30.0000000,30.0900000,160814
ICE.BRN,D,26/01/16,00:00:00,30.0100000,32.7200000,29.2700000,31.0900000,213503
ICE.BRN,D,27/01/16,00:00:00,31.2000000,33.4900000,30.8400000,33.0100000,175106
ICE.BRN,D,28/01/16,00:00:00,32.8400000,35.8400000,32.5600000,34.5500000,114751
ICE.BRN,D,29/01/16,00:00:00,34.0000000,36.1700000,34.0000000,35.8700000,297335
ICE.BRN,D,31/01/16,00:00:00,35.9100000,36.2500000,35.6600000,35.9100000,1337
ICE.BRN,D,01/02/16,00:00:00,35.9200000,36.0500000,33.9200000,34.1300000,256570
ICE.BRN,D,02/02/16,00:00:00,34.1200000,34.1300000,32.2300000,32.5700000,253895
ICE.BRN,D,03/02/16,00:00:00,32.4100000,35.5300000,32.3000000,35.4700000,320545
ICE.BRN,D,04/02/16,00:00:00,35.3200000,35.8400000,34.1500000,34.3900000,223450
ICE.BRN,D,05/02/16,00:00:00,34.3900000,35.1400000,33.8100000,34.1300000,185374
ICE.BRN,D,07/02/16,00:00:00,33.9900000,34.2100000,33.8800000,33.8800000,316
ICE.BRN,D,08/02/16,00:00:00,33.8800000,34.6800000,32.7700000,33.2100000,164516
ICE.BRN,D,09/02/16,00:00:00,33.1700000,33.5600000,30.2800000,30.8100000,256841
ICE.BRN,D,10/02/16,00:00:00,30.9400000,31.9000000,30.3500000,30.9700000,232562
ICE.BRN,D,11/02/16,00:00:00,30.8300000,31.3500000,29.9200000,31.1300000,243327
ICE.BRN,D,12/02/16,00:00:00,31.3100000,33.4400000,30.8500000,32.6500000,259523
