<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,04/01/16,00:00:00,1762.2000000,1762.2700000,1731.6200000,1734.5600000,15184059638
IMOEX,D,05/01/16,00:00:00,1733.6700000,1754.3300000,1731.8600000,1754.1300000,18096848155
IMOEX,D,06/01/16,00:00:00,1753.9600000,1758.7600000,1738.8400000,1748.5700000,15863769598
IMOEX,D,11/01/16,00:00:00,1712.7900000,1713.1700000,1681.6500000,1682.5400000,31299887238
IMOEX,D,12/01/16,00:00:00,1671.3000000,1705.1300000,1660.1700000,1690.3000000,32959612040
IMOEX,D,13/01/16,00:00:00,1696.5300000,1708.9700000,1682.3900000,1684.7800000,27040723765
IMOEX,D,14/01/16,00:00:00,1678.5000000,1685.6200000,1658.8400000,1680.7700000,31609765726
IMOEX,D,15/01/16,00:00:00,1676.9800000,1686.8500000,1597.8700000,1608.3600000,50283185458
IMOEX,D,18/01/16,00:00:00,1601.5300000,1631.4200000,1583.0400000,1622.4300000,32366912468
IMOEX,D,19/01/16,00:00:00,1635.3600000,1674.9800000,1635.2100000,1645.5600000,37157904981
IMOEX,D,20/01/16,00:00:00,1630.1600000,1632.8200000,1601.7300000,1630.3900000,39821132337
IMOEX,D,21/01/16,00:00:00,1634.2700000,1684.0300000,1634.2700000,1677.1900000,43326301552
IMOEX,D,22/01/16,00:00:00,1699.2600000,1730.1400000,1682.9200000,1717.9800000,60488647098
IMOEX,D,25/01/16,00:00:00,1725.9100000,1725.9100000,1700.3600000,1716.5600000,34894234976
IMOEX,D,26/01/16,00:00:00,1696.5400000,1719.0900000,1695.9100000,1705.0100000,34002423384
IMOEX,D,27/01/16,00:00:00,1709.5300000,1747.5700000,1708.2100000,1747.5700000,37416392162
IMOEX,D,28/01/16,00:00:00,1746.2300000,1771.9300000,1739.8500000,1771.9300000,49890474263
IMOEX,D,29/01/16,00:00:00,1775.8900000,1788.0800000,1758.6000000,1784.9200000,49773127194
IMOEX,D,01/02/16,00:00:00,1782.5500000,1784.9600000,1760.4100000,1773.2100000,31043356045
IMOEX,D,02/02/16,00:00:00,1766.4600000,1785.7500000,1749.9000000,1758.2600000,38671518377
IMOEX,D,03/02/16,00:00:00,1748.6900000,1766.2700000,1744.8100000,1746.3500000,31399278725
IMOEX,D,04/02/16,00:00:00,1776.2200000,1792.4800000,1770.7200000,1787.9300000,44900362749
IMOEX,D,05/02/16,00:00:00,1783.0700000,1796.4800000,1772.2700000,1780.5900000,28320335549
IMOEX,D,08/02/16,00:00:00,1779.6200000,1784.5600000,1737.0600000,1744.2700000,33814129704
IMOEX,D,09/02/16,00:00:00,1737.7100000,1752.8900000,1715.0300000,1723.3600000,37373681578
IMOEX,D,10/02/16,00:00:00,1715.9000000,1740.7100000,1710.3400000,1730.8300000,32150971589
IMOEX,D,11/02/16,00:00:00,1726.7100000,1726.7100000,1688.1300000,1711.5800000,39462082110
IMOEX,D,12/02/16,00:00:00,1721.8100000,1733.6600000,1716.3400000,1726.0400000,29057999447
IMOEX,D,15/02/16,00:00:00,1733.2900000,1746.3600000,1726.2000000,1738.5400000,24247759999
IMOEX,D,16/02/16,00:00:00,1746.2200000,1758.1700000,1741.9900000,1753.8600000,34532761465
IMOEX,D,17/02/16,00:00:00,1753.4200000,1776.8300000,1750.0600000,1770.3100000,34413040963
IMOEX,D,18/02/16,00:00:00,1775.2100000,1807.3200000,1775.2100000,1807.2100000,41792675530
IMOEX,D,19/02/16,00:00:00,1796.4300000,1796.4300000,1778.9600000,1793.3700000,39618767600
IMOEX,D,20/02/16,00:00:00,1793.4800000,1798.7100000,1786.9400000,1790.1700000,5612703764
IMOEX,D,22/02/16,00:00:00,1794.5400000,1825.0000000,1793.0300000,1822.3800000,20518229824
IMOEX,D,24/02/16,00:00:00,1811.0800000,1812.9400000,1784.5400000,1797.2700000,31529049244
IMOEX,D,25/02/16,00:00:00,1802.3700000,1819.1900000,1777.7000000,1803.8900000,36117737702
IMOEX,D,26/02/16,00:00:00,1815.9900000,1831.7000000,1811.6600000,1816.7300000,42036927929
IMOEX,D,29/02/16,00:00:00,1811.5300000,1841.5600000,1798.5100000,1840.1700000,37246813480
IMOEX,D,01/03/16,00:00:00,1841.4300000,1851.8800000,1838.4100000,1844.1700000,34696163781
IMOEX,D,02/03/16,00:00:00,1853.3200000,1856.0800000,1826.4100000,1832.8400000,31781946857
IMOEX,D,03/03/16,00:00:00,1836.8100000,1863.9500000,1836.7300000,1858.6900000,35548516895
IMOEX,D,04/03/16,00:00:00,1863.1500000,1878.2900000,1853.8100000,1878.2900000,32995033341
IMOEX,D,07/03/16,00:00:00,1883.3800000,1909.5700000,1883.3800000,1909.5700000,29139566559
IMOEX,D,09/03/16,00:00:00,1899.1900000,1906.9900000,1875.5200000,1883.0000000,35945669833
IMOEX,D,10/03/16,00:00:00,1885.9700000,1896.0500000,1875.6200000,1884.6300000,36327060323
IMOEX,D,11/03/16,00:00:00,1886.8500000,1888.7700000,1868.2200000,1876.5400000,32491751021
