history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2019-12-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1548,92;1549,59;1558,24;1545,3;600152934,368;0;0;2;190357695704;USD;122896716,062000
RTSI;RTSI;2019-12-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1549,4;1533,81;1552,73;1533,81;596875750,981;0;0;2;190415764348;USD;122896716,062000
RTSI;RTSI;2019-12-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1534,85;1541,05;1546,5;1533,76;369647931,462;0;0;2;188628453853;USD;122896716,062000
RTSI;RTSI;2019-12-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1544,12;1541,59;1549,88;1541,31;297767929,781;0;0;2;189766692415;USD;122896716,062000
RTSI;RTSI;2019-12-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1540,46;1535,88;1541,87;1534,78;532641371,008;0;0;2;189317886411;USD;122896716,062000
RTSI;RTSI;2019-12-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1535;1522,85;1535;1522,04;733868910,208;0;0;2;188645950181;USD;122896716,062000
RTSI;RTSI;2019-12-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1523,77;1522,1;1530,86;1519,02;1021765028,53;0;0;2;187266032184;USD;122896716,062000
RTSI;RTSI;2019-12-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1519,49;1514,4;1526,48;1511,06;1075359401,25;0;0;2;189454952039;USD;124683177,747000
RTSI;RTSI;2019-12-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1522,51;1520,18;1524,62;1511,66;964293290,087;0;0;2;189831514972;USD;124683177,747000
RTSI;RTSI;2019-12-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1520,6;1519,79;1521,77;1512,8;839835358,025;0;0;2;189593066734;USD;124683177,747000
