<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,D,04/01/16,00:00:00,755.1600000,761.6800000,741.6700000,749.2800000,204806463
RTSI,D,05/01/16,00:00:00,747.9400000,753.9700000,743.4200000,752.7000000,242929972
RTSI,D,06/01/16,00:00:00,753.0600000,754.0400000,735.6200000,736.8200000,210962101
RTSI,D,11/01/16,00:00:00,721.6800000,721.6800000,699.1300000,699.1300000,0
RTSI,D,12/01/16,00:00:00,689.3300000,706.3100000,681.4600000,695.3200000,0
RTSI,D,13/01/16,00:00:00,694.9100000,708.3300000,692.0000000,693.6500000,0
RTSI,D,14/01/16,00:00:00,688.3300000,694.8900000,681.5900000,692.9900000,0
RTSI,D,15/01/16,00:00:00,692.9400000,694.6600000,647.9800000,652.9800000,0
RTSI,D,18/01/16,00:00:00,647.2900000,654.9800000,632.3900000,646.9000000,0
RTSI,D,19/01/16,00:00:00,653.9700000,674.3200000,652.8600000,660.2900000,0
RTSI,D,20/01/16,00:00:00,649.3200000,649.3200000,626.2700000,628.4100000,0
RTSI,D,21/01/16,00:00:00,631.8900000,635.2700000,607.1600000,632.1200000,0
RTSI,D,22/01/16,00:00:00,650.4700000,696.0600000,650.4700000,691.4000000,0
RTSI,D,25/01/16,00:00:00,694.2200000,703.7800000,672.5100000,681.5700000,0
RTSI,D,26/01/16,00:00:00,665.8500000,685.5900000,655.6200000,683.0500000,0
RTSI,D,27/01/16,00:00:00,687.5800000,705.2900000,679.5500000,704.8700000,0
RTSI,D,28/01/16,00:00:00,707.2100000,737.5700000,704.9700000,727.1300000,0
RTSI,D,29/01/16,00:00:00,733.3500000,749.3300000,727.9400000,745.3000000,0
RTSI,D,01/02/16,00:00:00,742.0300000,742.8700000,723.9100000,730.3900000,0
RTSI,D,02/02/16,00:00:00,719.3000000,723.0100000,695.0100000,701.2100000,0
RTSI,D,03/02/16,00:00:00,690.3500000,713.6700000,690.3500000,696.9600000,0
RTSI,D,04/02/16,00:00:00,727.4900000,745.6600000,725.4200000,738.8200000,0
RTSI,D,05/02/16,00:00:00,729.6600000,737.7400000,720.0200000,725.9100000,0
RTSI,D,08/02/16,00:00:00,724.0800000,734.7600000,700.8600000,704.0300000,0
RTSI,D,09/02/16,00:00:00,697.4700000,705.3000000,684.3900000,690.3700000,0
RTSI,D,10/02/16,00:00:00,677.3100000,705.2000000,677.3100000,696.6100000,0
RTSI,D,11/02/16,00:00:00,690.8300000,690.8300000,663.6100000,671.3400000,0
RTSI,D,12/02/16,00:00:00,678.2700000,692.3700000,678.2700000,689.9000000,0
RTSI,D,15/02/16,00:00:00,700.1500000,713.5100000,698.1000000,707.2400000,0
RTSI,D,16/02/16,00:00:00,714.6700000,727.3600000,706.3100000,708.6100000,0
RTSI,D,17/02/16,00:00:00,709.8600000,739.0600000,705.9700000,735.8100000,0
RTSI,D,18/02/16,00:00:00,745.6100000,756.2500000,739.6500000,752.8900000,0
RTSI,D,19/02/16,00:00:00,738.2800000,742.9800000,721.6700000,725.9800000,0
RTSI,D,20/02/16,00:00:00,732.6900000,739.5700000,731.4200000,732.7700000,0
RTSI,D,22/02/16,00:00:00,735.5500000,762.5200000,734.5800000,761.4800000,0
RTSI,D,23/02/16,00:00:00,762.4000000,762.4000000,762.4000000,762.4000000,0
RTSI,D,24/02/16,00:00:00,741.5600000,747.5200000,725.4000000,737.7300000,416474435
RTSI,D,25/02/16,00:00:00,749.6300000,755.5500000,732.4000000,745.5300000,482636779
RTSI,D,26/02/16,00:00:00,759.0800000,772.0800000,755.0900000,757.4500000,570683763
RTSI,D,29/02/16,00:00:00,749.0300000,768.8000000,746.1900000,768.8000000,498441009
RTSI,D,01/03/16,00:00:00,771.7200000,790.5500000,770.8700000,786.3600000,477670612
RTSI,D,02/03/16,00:00:00,795.7100000,798.3900000,777.1100000,780.1600000,433791502
RTSI,D,03/03/16,00:00:00,792.0300000,800.2900000,783.5800000,798.5800000,488305012
RTSI,D,04/03/16,00:00:00,802.2400000,818.2500000,796.2600000,818.2500000,459820743
RTSI,D,07/03/16,00:00:00,823.6600000,840.1000000,822.3500000,839.2300000,410313873
RTSI,D,09/03/16,00:00:00,837.0200000,840.0400000,815.1100000,835.6400000,512111852
RTSI,D,10/03/16,00:00:00,835.4900000,850.1500000,828.5300000,834.2400000,521185830
RTSI,D,11/03/16,00:00:00,832.1500000,854.0600000,831.7000000,845.5900000,473195729
RTSI,D,14/03/16,00:00:00,845.7900000,847.1800000,826.3200000,830.5400000,428573721
RTSI,D,15/03/16,00:00:00,842.6400000,845.1200000,818.9500000,821.6400000,767382771
RTSI,D,16/03/16,00:00:00,823.8400000,835.9700000,821.1900000,835.9700000,423182327
RTSI,D,17/03/16,00:00:00,854.6200000,876.3300000,854.6200000,873.8000000,730259296
RTSI,D,18/03/16,00:00:00,875.9000000,894.7600000,866.8800000,885.1300000,896479086
RTSI,D,21/03/16,00:00:00,878.1900000,887.0900000,866.4700000,883.6000000,640064021
RTSI,D,22/03/16,00:00:00,884.4400000,891.1800000,874.2200000,887.6000000,627901038
RTSI,D,23/03/16,00:00:00,886.8800000,889.4500000,863.8300000,865.4000000,550070769
RTSI,D,24/03/16,00:00:00,858.5100000,859.4100000,841.4900000,847.2600000,462393539
RTSI,D,25/03/16,00:00:00,859.0500000,868.8800000,859.0500000,862.2200000,156918122
RTSI,D,28/03/16,00:00:00,861.5400000,873.0100000,848.2500000,851.6700000,267809689
RTSI,D,29/03/16,00:00:00,850.2200000,850.8500000,835.7500000,843.4200000,460405957
RTSI,D,30/03/16,00:00:00,857.4600000,876.7700000,857.4600000,869.8600000,509806602
RTSI,D,31/03/16,00:00:00,860.9500000,882.7500000,858.6200000,876.2000000,685780922
RTSI,D,01/04/16,00:00:00,874.4100000,874.4100000,847.0400000,861.9600000,622900737
RTSI,D,04/04/16,00:00:00,864.3400000,868.8900000,847.6000000,861.7600000,489627316
RTSI,D,05/04/16,00:00:00,852.1000000,854.1000000,839.6200000,846.6100000,457192126
RTSI,D,06/04/16,00:00:00,856.0700000,865.5000000,848.0700000,863.2900000,454790443
RTSI,D,07/04/16,00:00:00,869.4700000,872.5600000,852.9800000,859.2400000,458116153
RTSI,D,08/04/16,00:00:00,862.1800000,882.8200000,860.7800000,879.0700000,545054765
RTSI,D,11/04/16,00:00:00,880.2900000,903.0400000,875.9400000,900.9800000,704702020
RTSI,D,12/04/16,00:00:00,899.6800000,913.5500000,897.3400000,911.0700000,673768049
RTSI,D,13/04/16,00:00:00,912.4400000,932.1500000,910.2100000,922.5000000,774511983
RTSI,D,14/04/16,00:00:00,917.0100000,926.5300000,906.6200000,914.3400000,697973213
RTSI,D,15/04/16,00:00:00,911.7700000,916.4000000,899.3700000,905.1000000,455414012
RTSI,D,18/04/16,00:00:00,896.1200000,899.5800000,864.4600000,899.5800000,632799324
RTSI,D,19/04/16,00:00:00,903.4700000,928.1100000,902.4900000,926.6400000,890959274
RTSI,D,20/04/16,00:00:00,920.3300000,943.1600000,912.1200000,943.1600000,874882407
RTSI,D,21/04/16,00:00:00,952.8300000,960.9600000,925.6800000,927.2300000,896686974
RTSI,D,22/04/16,00:00:00,920.2300000,941.3100000,919.1900000,931.4600000,684665133
RTSI,D,25/04/16,00:00:00,930.0400000,935.9900000,919.0300000,927.6600000,561494445
RTSI,D,26/04/16,00:00:00,924.6400000,931.1900000,916.5700000,931.1900000,578770223
RTSI,D,27/04/16,00:00:00,943.1500000,945.7800000,919.7100000,927.0900000,580955578
RTSI,D,28/04/16,00:00:00,936.4000000,964.4100000,929.3300000,964.4100000,643227689
RTSI,D,29/04/16,00:00:00,959.4000000,968.0300000,945.7200000,951.1100000,780289597
RTSI,D,04/05/16,00:00:00,941.8000000,949.3600000,907.6600000,912.5800000,712587484
RTSI,D,05/05/16,00:00:00,911.1300000,924.4300000,906.6200000,916.5300000,485514942
RTSI,D,06/05/16,00:00:00,911.2500000,913.8900000,896.4200000,912.0200000,447163080
RTSI,D,10/05/16,00:00:00,905.7100000,910.2900000,886.9200000,897.1100000,484073992
RTSI,D,11/05/16,00:00:00,898.2600000,927.0400000,895.8300000,927.0000000,537919639
RTSI,D,12/05/16,00:00:00,926.9700000,934.6300000,915.9500000,915.9500000,523548556
RTSI,D,13/05/16,00:00:00,923.0100000,923.7500000,907.9600000,921.8800000,475604103
RTSI,D,16/05/16,00:00:00,920.2900000,942.2700000,918.7300000,929.1200000,491149723
RTSI,D,17/05/16,00:00:00,928.8100000,934.9700000,910.3400000,931.7300000,577377856
RTSI,D,18/05/16,00:00:00,927.8700000,928.0200000,918.1200000,926.8200000,435371938
RTSI,D,19/05/16,00:00:00,910.7000000,912.8200000,885.4200000,885.4200000,582968478
RTSI,D,20/05/16,00:00:00,896.9000000,902.3500000,886.4100000,893.0900000,466573233
RTSI,D,23/05/16,00:00:00,891.1100000,891.1100000,873.5800000,879.5500000,385106233
RTSI,D,24/05/16,00:00:00,880.9200000,893.4300000,878.1300000,891.4800000,369581330
RTSI,D,25/05/16,00:00:00,899.3800000,917.6000000,899.3800000,907.9700000,558387392
RTSI,D,26/05/16,00:00:00,916.6500000,934.6100000,914.7200000,918.7900000,638257559
RTSI,D,27/05/16,00:00:00,915.7500000,921.8800000,910.5000000,917.5200000,462838650
RTSI,D,30/05/16,00:00:00,920.0700000,927.4500000,913.9500000,925.5100000,230500849
RTSI,D,31/05/16,00:00:00,927.4900000,928.9500000,904.3300000,904.3300000,803453256
RTSI,D,01/06/16,00:00:00,896.9700000,901.9500000,884.8000000,890.5200000,500207417
RTSI,D,02/06/16,00:00:00,889.7700000,896.7600000,874.8800000,885.9300000,427907114
RTSI,D,03/06/16,00:00:00,892.2800000,903.7000000,886.4600000,902.6400000,489197701
RTSI,D,06/06/16,00:00:00,908.8700000,927.2600000,905.4100000,922.9100000,455184107
RTSI,D,07/06/16,00:00:00,925.7100000,948.8700000,922.9400000,948.8700000,621121212
RTSI,D,08/06/16,00:00:00,952.5500000,965.3600000,947.3200000,965.3600000,601265946
RTSI,D,09/06/16,00:00:00,966.5600000,967.5800000,945.0200000,950.8600000,469607315
RTSI,D,10/06/16,00:00:00,943.5100000,944.2800000,924.6500000,924.6500000,448967847
RTSI,D,14/06/16,00:00:00,916.1500000,918.6900000,891.2400000,900.1900000,621998545
RTSI,D,15/06/16,00:00:00,897.3300000,912.3400000,895.9100000,910.0800000,582939041
RTSI,D,16/06/16,00:00:00,905.4100000,905.7500000,884.8300000,895.0000000,498147840
RTSI,D,17/06/16,00:00:00,898.5900000,917.4600000,898.5900000,910.2800000,546545453
RTSI,D,20/06/16,00:00:00,917.8000000,938.1500000,917.8000000,935.0400000,376924660
RTSI,D,21/06/16,00:00:00,932.2900000,939.4700000,923.0700000,937.2200000,403764506
RTSI,D,22/06/16,00:00:00,942.3900000,947.7200000,924.8900000,927.2900000,338631382
RTSI,D,23/06/16,00:00:00,919.6900000,942.0600000,917.1100000,941.1100000,407973302
RTSI,D,24/06/16,00:00:00,920.6700000,920.6700000,887.4400000,912.4900000,670613557
RTSI,D,27/06/16,00:00:00,909.1400000,913.1000000,885.2200000,888.7800000,541832941
RTSI,D,28/06/16,00:00:00,890.8800000,909.8600000,890.8800000,905.3600000,467196637
RTSI,D,29/06/16,00:00:00,915.5200000,931.3500000,912.0700000,931.3500000,402697622
RTSI,D,30/06/16,00:00:00,931.1300000,936.4100000,919.4000000,930.7700000,454876279
RTSI,D,01/07/16,00:00:00,931.2000000,937.5400000,922.5900000,933.3200000,341907436
