<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDCB,D,01/01/16,00:00:00,72.9299000,72.9299000,72.9299000,72.9299000,0
USDCB,D,12/01/16,00:00:00,75.9507000,75.9507000,75.9507000,75.9507000,0
USDCB,D,13/01/16,00:00:00,76.6041000,76.6041000,76.6041000,76.6041000,0
USDCB,D,14/01/16,00:00:00,76.4275000,76.4275000,76.4275000,76.4275000,0
USDCB,D,15/01/16,00:00:00,76.5230000,76.5230000,76.5230000,76.5230000,0
USDCB,D,16/01/16,00:00:00,76.5650000,76.5650000,76.5650000,76.5650000,0
USDCB,D,19/01/16,00:00:00,78.6678000,78.6678000,78.6678000,78.6678000,0
USDCB,D,20/01/16,00:00:00,78.4862000,78.4862000,78.4862000,78.4862000,0
USDCB,D,21/01/16,00:00:00,79.4614000,79.4614000,79.4614000,79.4614000,0
USDCB,D,22/01/16,00:00:00,83.5913000,83.5913000,83.5913000,83.5913000,0
USDCB,D,23/01/16,00:00:00,80.5714000,80.5714000,80.5714000,80.5714000,0
USDCB,D,26/01/16,00:00:00,77.7965000,77.7965000,77.7965000,77.7965000,0
USDCB,D,27/01/16,00:00:00,81.8394000,81.8394000,81.8394000,81.8394000,0
USDCB,D,28/01/16,00:00:00,78.9969000,78.9969000,78.9969000,78.9969000,0
USDCB,D,29/01/16,00:00:00,77.3674000,77.3674000,77.3674000,77.3674000,0
USDCB,D,30/01/16,00:00:00,75.1723000,75.1723000,75.1723000,75.1723000,0
USDCB,D,02/02/16,00:00:00,76.3264000,76.3264000,76.3264000,76.3264000,0
USDCB,D,03/02/16,00:00:00,77.9273000,77.9273000,77.9273000,77.9273000,0
USDCB,D,04/02/16,00:00:00,79.2593000,79.2593000,79.2593000,79.2593000,0
USDCB,D,05/02/16,00:00:00,76.4609000,76.4609000,76.4609000,76.4609000,0
USDCB,D,06/02/16,00:00:00,77.3409000,77.3409000,77.3409000,77.3409000,0
USDCB,D,09/02/16,00:00:00,76.8614000,76.8614000,76.8614000,76.8614000,0
USDCB,D,10/02/16,00:00:00,78.6805000,78.6805000,78.6805000,78.6805000,0
USDCB,D,11/02/16,00:00:00,79.0689000,79.0689000,79.0689000,79.0689000,0
USDCB,D,12/02/16,00:00:00,79.1144000,79.1144000,79.1144000,79.1144000,0
USDCB,D,13/02/16,00:00:00,79.4951000,79.4951000,79.4951000,79.4951000,0
USDCB,D,16/02/16,00:00:00,77.7792000,77.7792000,77.7792000,77.7792000,0
USDCB,D,17/02/16,00:00:00,76.2450000,76.2450000,76.2450000,76.2450000,0
USDCB,D,18/02/16,00:00:00,77.8503000,77.8503000,77.8503000,77.8503000,0
USDCB,D,19/02/16,00:00:00,75.4575000,75.4575000,75.4575000,75.4575000,0
USDCB,D,20/02/16,00:00:00,76.3657000,76.3657000,76.3657000,76.3657000,0
USDCB,D,21/02/16,00:00:00,77.1326000,77.1326000,77.1326000,77.1326000,0
USDCB,D,25/02/16,00:00:00,76.3928000,76.3928000,76.3928000,76.3928000,0
USDCB,D,26/02/16,00:00:00,76.3929000,76.3929000,76.3929000,76.3929000,0
USDCB,D,27/02/16,00:00:00,75.0903000,75.0903000,75.0903000,75.0903000,0
USDCB,D,01/03/16,00:00:00,75.8994000,75.8994000,75.8994000,75.8994000,0
USDCB,D,02/03/16,00:00:00,74.0536000,74.0536000,74.0536000,74.0536000,0
USDCB,D,03/03/16,00:00:00,73.6256000,73.6256000,73.6256000,73.6256000,0
USDCB,D,04/03/16,00:00:00,73.8242000,73.8242000,73.8242000,73.8242000,0
USDCB,D,05/03/16,00:00:00,73.1854000,73.1854000,73.1854000,73.1854000,0
USDCB,D,10/03/16,00:00:00,72.3775000,72.3775000,72.3775000,72.3775000,0
USDCB,D,11/03/16,00:00:00,71.0928000,71.0928000,71.0928000,71.0928000,0
USDCB,D,12/03/16,00:00:00,70.3067000,70.3067000,70.3067000,70.3067000,0
USDCB,D,15/03/16,00:00:00,70.1542000,70.1542000,70.1542000,70.1542000,0
USDCB,D,16/03/16,00:00:00,70.5408000,70.5408000,70.5408000,70.5408000,0
