"Date","Price","Open","High","Low","Change %"
"Jan 01, 2016","73.0000","72.8800","73.0000","72.8800","0.00%"
"Jan 04, 2016","73.1655","73.5963","73.5963","72.6455","0.23%"
"Jan 05, 2016","73.3260","73.1655","73.5432","72.7952","0.22%"
"Jan 06, 2016","74.7623","73.3260","75.0218","73.3130","1.96%"
"Jan 07, 2016","75.1000","74.6000","76.1700","74.0720","0.45%"
"Jan 08, 2016","74.8050","74.8100","75.3100","73.5100","-0.39%"
"Jan 11, 2016","76.2000","74.7623","76.4054","74.7623","1.86%"
"Jan 12, 2016","77.0394","76.2000","77.2297","75.9207","1.10%"
"Jan 13, 2016","76.6724","77.0394","77.0394","75.7597","-0.48%"
"Jan 14, 2016","76.0647","76.6724","77.0304","76.0640","-0.79%"
"Jan 15, 2016","77.6411","76.0647","77.9347","76.0647","2.07%"
"Jan 18, 2016","79.2942","77.6411","79.3984","77.6411","2.13%"
"Jan 19, 2016","78.5908","79.2942","79.2942","78.1013","-0.89%"
"Jan 20, 2016","81.3906","78.5908","82.4411","78.5908","3.56%"
"Jan 21, 2016","82.6813","81.3906","85.7520","81.3906","1.59%"
"Jan 22, 2016","78.0450","82.6813","82.6813","77.9909","-5.61%"
"Jan 25, 2016","80.0649","78.0450","80.1057","76.7135","2.59%"
"Jan 26, 2016","78.3342","80.0649","82.2142","77.7454","-2.16%"
"Jan 27, 2016","77.6556","78.3342","79.4477","76.9540","-0.87%"
"Jan 28, 2016","76.3787","77.6556","77.8664","75.5062","-1.64%"
"Jan 29, 2016","75.4644","76.3787","76.3787","74.6083","-1.20%"
"Feb 01, 2016","77.3094","75.4644","77.4449","75.4273","2.44%"
"Feb 02, 2016","79.7542","77.3094","79.7549","77.3094","3.16%"
"Feb 03, 2016","76.8869","79.7542","79.8280","76.7034","-3.60%"
"Feb 04, 2016","76.9080","76.8869","77.2215","75.6070","0.03%"
"Feb 05, 2016","77.4872","76.9080","77.6979","76.4612","0.75%"
"Feb 08, 2016","78.5509","77.4872","79.0665","76.4422","1.37%"
"Feb 09, 2016","79.7087","78.5509","79.9399","78.1013","1.47%"
"Feb 10, 2016","78.6429","79.7087","79.7087","77.7550","-1.34%"
"Feb 11, 2016","79.5917","78.6429","80.6000","78.6429","1.21%"
"Feb 12, 2016","78.3558","79.5917","79.7666","78.1602","-1.55%"
"Feb 15, 2016","76.9807","78.3558","78.3558","76.9176","-1.75%"
"Feb 16, 2016","77.8876","76.9807","78.1027","75.9297","1.18%"
"Feb 17, 2016","75.0400","77.8876","78.2768","74.6985","-3.66%"
"Feb 18, 2016","76.4278","75.0400","76.4919","74.9552","1.85%"
"Feb 19, 2016","76.9937","76.4278","77.8704","76.0642","0.74%"
"Feb 20, 2016","77.0453","76.9937","77.2625","76.5269","0.07%"
"Feb 22, 2016","75.3462","77.0453","77.0453","74.9729","-2.21%"
"Feb 24, 2016","75.7421","75.3462","77.5512","75.3462","0.53%"
"Feb 25, 2016","75.3641","75.7421","76.6408","75.1921","-0.50%"
"Feb 26, 2016","76.1883","75.3641","76.4086","74.5206","1.09%"
"Feb 29, 2016","75.1682","76.1883","76.2819","74.8940","-1.34%"
"Mar 01, 2016","73.3731","75.1682","75.1682","73.1891","-2.39%"
"Mar 02, 2016","73.0278","73.3731","74.2113","73.0229","-0.47%"
"Mar 03, 2016","73.1620","73.0278","74.0648","72.9079","0.18%"
"Mar 04, 2016","72.0326","73.1620","73.4294","71.7577","-1.54%"
"Mar 07, 2016","71.4779","72.0326","72.2449","71.1390","-0.77%"
"Mar 09, 2016","71.1102","71.4779","72.6582","70.7696","-0.51%"
"Mar 10, 2016","71.4291","71.1102","71.8797","69.9767","0.45%"
"Mar 11, 2016","69.9192","71.4291","71.4550","69.4782","-2.11%"
"Mar 14, 2016","69.9772","69.9192","70.9539","69.6951","0.08%"
"Mar 15, 2016","71.0474","69.9772","71.3575","69.9600","1.53%"
"Mar 16, 2016","69.1734","71.0474","71.2303","69.1299","-2.64%"
"Mar 17, 2016","68.0758","69.1734","69.1734","67.9606","-1.59%"
"Mar 18, 2016","68.3703","68.0758","68.7043","67.3026","0.43%"
"Mar 21, 2016","67.8348","68.3703","69.1166","67.5203","-0.78%"
"Mar 22, 2016","67.4914","67.8348","68.2374","67.2028","-0.51%"
"Mar 23, 2016","68.7234","67.4914","68.7516","67.4486","1.83%"
"Mar 24, 2016","68.5601","68.7234","69.6384","68.2878","-0.24%"
"Mar 25, 2016","68.4470","68.5601","68.6763","67.8344","-0.16%"
"Mar 28, 2016","68.5128","68.4470","68.6343","67.6303","0.10%"
"Mar 29, 2016","68.0899","68.5128","69.2061","67.9979","-0.62%"
"Mar 30, 2016","68.2440","68.0899","68.3549","67.2004","0.23%"
"Mar 31, 2016","67.0288","68.2440","68.2440","66.7170","-1.78%"
"Apr 01, 2016","67.5855","67.0288","68.3415","66.9732","0.83%"
"Apr 04, 2016","68.7464","67.5855","68.8977","67.5855","1.72%"
"Apr 05, 2016","68.5667","68.7464","69.4728","68.5532","-0.26%"
