<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFLT,D,04/01/16,00:00:00,55.7600000,56.4100000,55.4700000,56.2000000,932700
AFLT,D,05/01/16,00:00:00,56.0800000,56.3200000,54.4500000,54.4500000,3144600
AFLT,D,06/01/16,00:00:00,54.5100000,54.5700000,53.2400000,54.0500000,3014100
AFLT,D,11/01/16,00:00:00,53.4000000,53.4100000,51.5200000,52.0600000,2736300
AFLT,D,12/01/16,00:00:00,51.8900000,53.3000000,51.0000000,53.2500000,2956800
AFLT,D,13/01/16,00:00:00,53.1300000,55.3200000,53.1300000,55.0000000,4486500
AFLT,D,14/01/16,00:00:00,54.8400000,54.8700000,52.8200000,53.6000000,3080000
AFLT,D,15/01/16,00:00:00,53.1100000,54.7500000,51.0000000,51.9800000,3862100
AFLT,D,18/01/16,00:00:00,51.5500000,52.2800000,50.2000000,50.4000000,3532700
AFLT,D,19/01/16,00:00:00,51.0000000,53.1000000,50.9400000,52.0600000,4050500
AFLT,D,20/01/16,00:00:00,51.8500000,52.3200000,50.7300000,52.0000000,2136500
AFLT,D,21/01/16,00:00:00,52.0300000,53.0000000,50.7900000,50.9900000,4066300
AFLT,D,22/01/16,00:00:00,52.3000000,52.8700000,51.2100000,52.0300000,4784300
AFLT,D,25/01/16,00:00:00,52.6000000,52.6700000,50.8000000,51.1000000,4226300
AFLT,D,26/01/16,00:00:00,50.9000000,51.4800000,50.5400000,51.2800000,2004200
AFLT,D,27/01/16,00:00:00,51.4900000,51.6000000,50.6000000,50.9900000,3619700
AFLT,D,28/01/16,00:00:00,51.0400000,51.4300000,50.0800000,50.8900000,6578200
AFLT,D,29/01/16,00:00:00,51.0100000,51.1700000,50.2700000,50.5000000,2661900
AFLT,D,01/02/16,00:00:00,50.9000000,55.2400000,50.7200000,54.7700000,20485700
AFLT,D,02/02/16,00:00:00,54.5000000,55.8900000,53.1500000,54.1000000,7918700
AFLT,D,03/02/16,00:00:00,53.8800000,55.2500000,53.2900000,53.8400000,3785600
AFLT,D,04/02/16,00:00:00,54.1900000,55.0500000,53.8500000,54.8900000,3848100
AFLT,D,05/02/16,00:00:00,54.6100000,57.3000000,54.5300000,57.3000000,6566900
AFLT,D,08/02/16,00:00:00,57.3000000,58.6500000,56.0000000,57.3500000,5875200
AFLT,D,09/02/16,00:00:00,57.5000000,57.9300000,55.2000000,56.6600000,5769200
AFLT,D,10/02/16,00:00:00,56.4600000,56.8000000,55.0200000,55.8000000,3213900
AFLT,D,11/02/16,00:00:00,55.5600000,56.0000000,52.8200000,53.6400000,5644600
AFLT,D,12/02/16,00:00:00,53.9000000,54.8200000,53.7500000,54.4100000,4188800
AFLT,D,15/02/16,00:00:00,54.8500000,55.6400000,53.8400000,53.8800000,2984000
AFLT,D,16/02/16,00:00:00,54.0600000,54.9600000,53.8500000,54.1300000,2394600
AFLT,D,17/02/16,00:00:00,54.4000000,54.8900000,53.5900000,53.5900000,2450200
AFLT,D,18/02/16,00:00:00,54.0000000,54.8000000,53.7000000,54.1500000,2543500
AFLT,D,19/02/16,00:00:00,54.1500000,54.2700000,53.0400000,53.3200000,2288800
AFLT,D,20/02/16,00:00:00,53.4000000,53.5000000,53.2300000,53.4000000,404800
AFLT,D,22/02/16,00:00:00,53.7700000,54.8000000,53.4000000,54.8000000,2510300
AFLT,D,24/02/16,00:00:00,54.1000000,54.4000000,53.5100000,53.7000000,1718100
AFLT,D,25/02/16,00:00:00,53.8900000,54.3900000,53.1000000,54.0500000,2491800
AFLT,D,26/02/16,00:00:00,54.3300000,55.8000000,54.0900000,55.3500000,5167800
AFLT,D,29/02/16,00:00:00,55.3500000,57.6900000,54.8100000,57.1000000,7214100
AFLT,D,01/03/16,00:00:00,57.2000000,61.3700000,57.1000000,61.1900000,17402200
AFLT,D,02/03/16,00:00:00,61.5300000,62.9900000,60.7000000,61.1000000,11994900
AFLT,D,03/03/16,00:00:00,61.2400000,62.1700000,60.6100000,61.6100000,5609500
AFLT,D,04/03/16,00:00:00,61.7600000,65.6000000,61.7200000,65.4900000,10770300
AFLT,D,07/03/16,00:00:00,65.7500000,68.4600000,65.0900000,65.9400000,10332800
AFLT,D,09/03/16,00:00:00,65.8700000,66.9600000,62.4500000,62.4500000,13294200
AFLT,D,10/03/16,00:00:00,62.6000000,64.6200000,62.6000000,63.7700000,10645900
AFLT,D,11/03/16,00:00:00,64.2500000,66.2100000,63.7000000,64.7700000,9106700
AFLT,D,14/03/16,00:00:00,65.0000000,65.6100000,63.0100000,65.5500000,5168700
AFLT,D,15/03/16,00:00:00,65.4800000,67.5000000,65.4800000,66.3000000,8512500
AFLT,D,16/03/16,00:00:00,66.9200000,69.9800000,66.4000000,69.9800000,11406200
AFLT,D,17/03/16,00:00:00,70.2000000,72.0000000,69.3300000,70.1900000,7429700
AFLT,D,18/03/16,00:00:00,70.8800000,71.4900000,69.4000000,70.5100000,5919000
AFLT,D,21/03/16,00:00:00,70.7100000,74.1700000,70.1200000,73.5300000,10987700
AFLT,D,22/03/16,00:00:00,74.0800000,74.8500000,72.0800000,72.2900000,7926200
AFLT,D,23/03/16,00:00:00,73.1300000,73.9500000,72.7000000,72.9400000,4273800
AFLT,D,24/03/16,00:00:00,72.9000000,73.7600000,71.5400000,73.7600000,4226900
AFLT,D,25/03/16,00:00:00,73.9600000,74.8000000,72.7500000,73.2100000,2133600
AFLT,D,28/03/16,00:00:00,73.5900000,73.7900000,72.2500000,72.6000000,1549000
AFLT,D,29/03/16,00:00:00,72.7500000,74.1400000,72.0100000,73.6900000,4470900
AFLT,D,30/03/16,00:00:00,74.0600000,74.2700000,73.0500000,74.1000000,2597600
AFLT,D,31/03/16,00:00:00,74.1000000,74.5000000,73.3100000,74.4800000,3745600
AFLT,D,01/04/16,00:00:00,74.2500000,76.3200000,73.7200000,74.5500000,5759100
AFLT,D,04/04/16,00:00:00,74.8600000,75.5900000,74.4700000,74.6500000,2515300
AFLT,D,05/04/16,00:00:00,74.6500000,75.4700000,73.1100000,75.4000000,4655200
AFLT,D,06/04/16,00:00:00,75.3000000,79.9900000,75.2700000,79.1400000,10092100
AFLT,D,07/04/16,00:00:00,78.8500000,79.9100000,76.8900000,78.0000000,4614000
AFLT,D,08/04/16,00:00:00,78.0000000,80.0000000,77.5500000,79.0000000,6261900
AFLT,D,11/04/16,00:00:00,79.3900000,82.4400000,79.0100000,82.2000000,6316400
AFLT,D,12/04/16,00:00:00,82.2200000,83.7100000,77.6900000,79.3200000,11653900
AFLT,D,13/04/16,00:00:00,79.5500000,80.2600000,77.8300000,78.5500000,3913500
