<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,04/01/16,00:00:00,9090.0000000,9140.0000000,8892.0000000,8922.0000000,116946
GMKN,D,05/01/16,00:00:00,8930.0000000,9120.0000000,8891.0000000,9085.0000000,137701
GMKN,D,06/01/16,00:00:00,9100.0000000,9148.0000000,8990.0000000,8990.0000000,139135
GMKN,D,11/01/16,00:00:00,8798.0000000,8800.0000000,8507.0000000,8600.0000000,344532
GMKN,D,12/01/16,00:00:00,8550.0000000,8718.0000000,8500.0000000,8553.0000000,229545
GMKN,D,13/01/16,00:00:00,8590.0000000,8788.0000000,8544.0000000,8614.0000000,285535
GMKN,D,14/01/16,00:00:00,8580.0000000,8733.0000000,8400.0000000,8464.0000000,303758
GMKN,D,15/01/16,00:00:00,8473.0000000,8473.0000000,8040.0000000,8050.0000000,451715
GMKN,D,18/01/16,00:00:00,8060.0000000,8385.0000000,7840.0000000,8290.0000000,381847
GMKN,D,19/01/16,00:00:00,8399.0000000,8622.0000000,8370.0000000,8540.0000000,363942
GMKN,D,20/01/16,00:00:00,8475.0000000,8709.0000000,8325.0000000,8649.0000000,397484
GMKN,D,21/01/16,00:00:00,8667.0000000,9216.0000000,8655.0000000,9130.0000000,579667
GMKN,D,22/01/16,00:00:00,9221.0000000,9300.0000000,8951.0000000,9100.0000000,513134
GMKN,D,25/01/16,00:00:00,9107.0000000,9120.0000000,8980.0000000,9050.0000000,287832
GMKN,D,26/01/16,00:00:00,8957.0000000,9165.0000000,8833.0000000,8880.0000000,315174
GMKN,D,27/01/16,00:00:00,8901.0000000,9049.0000000,8900.0000000,8991.0000000,189445
GMKN,D,28/01/16,00:00:00,9011.0000000,9047.0000000,8863.0000000,8970.0000000,241020
GMKN,D,29/01/16,00:00:00,8955.0000000,8984.0000000,8730.0000000,8850.0000000,385232
GMKN,D,01/02/16,00:00:00,8830.0000000,8906.0000000,8625.0000000,8698.0000000,200501
GMKN,D,02/02/16,00:00:00,8700.0000000,8924.0000000,8647.0000000,8924.0000000,288272
GMKN,D,03/02/16,00:00:00,8925.0000000,8950.0000000,8770.0000000,8770.0000000,124220
GMKN,D,04/02/16,00:00:00,8855.0000000,9014.0000000,8795.0000000,8999.0000000,275848
GMKN,D,05/02/16,00:00:00,8943.0000000,9079.0000000,8913.0000000,9005.0000000,166364
GMKN,D,08/02/16,00:00:00,8960.0000000,8995.0000000,8812.0000000,8870.0000000,155723
GMKN,D,09/02/16,00:00:00,8861.0000000,8900.0000000,8620.0000000,8650.0000000,232747
GMKN,D,10/02/16,00:00:00,8615.0000000,8683.0000000,8510.0000000,8510.0000000,220081
GMKN,D,11/02/16,00:00:00,8506.0000000,8537.0000000,8251.0000000,8376.0000000,322100
