<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KMAZ,D,04/01/16,00:00:00,35.8500000,36.9500000,35.6000000,36.1000000,17200
KMAZ,D,05/01/16,00:00:00,35.9500000,36.7000000,35.9500000,36.0500000,10500
KMAZ,D,06/01/16,00:00:00,36.0000000,36.1500000,35.6000000,36.1500000,9700
KMAZ,D,11/01/16,00:00:00,35.5500000,35.6500000,35.0000000,35.6000000,17400
KMAZ,D,12/01/16,00:00:00,35.6000000,35.8000000,35.3500000,35.4000000,11400
KMAZ,D,13/01/16,00:00:00,35.6500000,35.9000000,35.6500000,35.8000000,15200
KMAZ,D,14/01/16,00:00:00,35.6500000,35.7000000,35.5000000,35.5000000,15800
KMAZ,D,15/01/16,00:00:00,35.5000000,35.6000000,34.0500000,35.0000000,129100
KMAZ,D,18/01/16,00:00:00,34.5000000,34.9500000,34.2000000,34.4500000,57100
KMAZ,D,19/01/16,00:00:00,34.4500000,35.4000000,34.4500000,34.9000000,34000
KMAZ,D,20/01/16,00:00:00,35.0000000,35.3000000,34.1500000,34.5000000,22000
KMAZ,D,21/01/16,00:00:00,34.3500000,34.4500000,34.0000000,34.4000000,35000
KMAZ,D,22/01/16,00:00:00,34.8500000,34.8500000,34.3000000,34.3500000,30900
KMAZ,D,25/01/16,00:00:00,34.7000000,35.1000000,34.4000000,34.4000000,64900
KMAZ,D,26/01/16,00:00:00,34.5000000,34.9000000,34.3500000,34.7000000,64800
KMAZ,D,27/01/16,00:00:00,34.7500000,35.1000000,34.5000000,34.8000000,37600
KMAZ,D,28/01/16,00:00:00,34.8000000,34.9000000,34.7000000,34.8500000,48200
KMAZ,D,29/01/16,00:00:00,34.9500000,34.9500000,34.4500000,34.6500000,27800
KMAZ,D,01/02/16,00:00:00,34.9500000,35.0000000,34.6500000,34.9500000,21500
KMAZ,D,02/02/16,00:00:00,34.9000000,34.9500000,34.7000000,34.9500000,23000
KMAZ,D,03/02/16,00:00:00,34.9000000,35.0000000,34.8500000,34.9500000,29800
KMAZ,D,04/02/16,00:00:00,35.1000000,35.5000000,35.0000000,35.1000000,32400
KMAZ,D,05/02/16,00:00:00,35.3000000,35.3000000,34.7500000,35.2500000,47900
KMAZ,D,08/02/16,00:00:00,34.7500000,36.4000000,34.7500000,35.3000000,119200
KMAZ,D,09/02/16,00:00:00,35.6000000,35.6500000,35.0500000,35.1500000,132300
KMAZ,D,10/02/16,00:00:00,35.1000000,35.1500000,34.7500000,35.1500000,55500
KMAZ,D,11/02/16,00:00:00,35.0500000,35.4000000,34.1500000,34.8000000,62400
KMAZ,D,12/02/16,00:00:00,35.1500000,36.0000000,35.1000000,35.4500000,186300
KMAZ,D,15/02/16,00:00:00,35.9000000,36.6500000,34.8000000,35.0000000,146600
KMAZ,D,16/02/16,00:00:00,35.2000000,35.2000000,34.4500000,35.1000000,46100
KMAZ,D,17/02/16,00:00:00,35.1500000,35.4000000,34.6500000,34.7000000,34900
KMAZ,D,18/02/16,00:00:00,35.0500000,35.3000000,34.6500000,34.9500000,53000
KMAZ,D,19/02/16,00:00:00,34.7000000,35.0500000,34.6500000,35.0000000,19000
KMAZ,D,20/02/16,00:00:00,34.7500000,35.1000000,34.7000000,35.0000000,24900
KMAZ,D,22/02/16,00:00:00,34.9000000,35.1000000,34.9000000,35.0000000,2300
KMAZ,D,24/02/16,00:00:00,35.0500000,35.0500000,34.7500000,34.9000000,5700
KMAZ,D,25/02/16,00:00:00,34.7500000,35.1000000,34.4000000,34.9500000,9900
KMAZ,D,26/02/16,00:00:00,35.0000000,35.0000000,34.8500000,34.8500000,10500
KMAZ,D,29/02/16,00:00:00,34.7500000,35.0500000,34.4000000,35.0000000,129500
KMAZ,D,01/03/16,00:00:00,35.0000000,35.0500000,34.5000000,35.0000000,22700
KMAZ,D,02/03/16,00:00:00,34.8000000,35.0500000,34.7500000,34.9500000,9500
KMAZ,D,03/03/16,00:00:00,35.0000000,35.1500000,34.7500000,34.9500000,91400
KMAZ,D,04/03/16,00:00:00,35.0000000,35.0000000,34.7500000,34.9000000,3100
KMAZ,D,07/03/16,00:00:00,35.0000000,35.1000000,34.8500000,34.8500000,17000
KMAZ,D,09/03/16,00:00:00,34.9500000,35.1000000,34.8500000,34.9500000,24900
KMAZ,D,10/03/16,00:00:00,34.8500000,35.5000000,34.8000000,35.1500000,28700
KMAZ,D,11/03/16,00:00:00,35.1500000,35.5500000,34.7000000,35.0000000,237600
KMAZ,D,14/03/16,00:00:00,35.1000000,35.5500000,35.0500000,35.1500000,105600
KMAZ,D,15/03/16,00:00:00,35.2000000,35.3000000,34.6000000,34.7000000,104300
KMAZ,D,16/03/16,00:00:00,34.8500000,35.1000000,34.7000000,34.8500000,70300
KMAZ,D,17/03/16,00:00:00,35.3000000,35.3500000,34.8000000,34.8000000,47200
KMAZ,D,18/03/16,00:00:00,35.0000000,35.1000000,34.8000000,35.0000000,38300
KMAZ,D,21/03/16,00:00:00,35.0000000,35.1000000,34.8000000,34.9500000,32800
KMAZ,D,22/03/16,00:00:00,35.0000000,35.0000000,34.7000000,34.8000000,45600
KMAZ,D,23/03/16,00:00:00,35.0500000,35.1000000,34.8000000,34.9000000,42000
KMAZ,D,24/03/16,00:00:00,34.8000000,35.4000000,34.6500000,35.1500000,74600
KMAZ,D,25/03/16,00:00:00,35.1500000,35.3000000,35.0000000,35.1500000,11000
KMAZ,D,28/03/16,00:00:00,35.1500000,35.5000000,35.0000000,35.2500000,22000
KMAZ,D,29/03/16,00:00:00,35.3500000,36.8000000,34.6000000,35.2000000,311500
KMAZ,D,30/03/16,00:00:00,35.0000000,35.2500000,34.5500000,35.2500000,42100
KMAZ,D,31/03/16,00:00:00,35.0000000,35.2000000,34.8500000,35.0500000,30300
KMAZ,D,01/04/16,00:00:00,34.9000000,35.3500000,34.8000000,35.1000000,29200
KMAZ,D,04/04/16,00:00:00,35.0000000,35.5500000,34.9000000,35.2500000,50500
KMAZ,D,05/04/16,00:00:00,35.3000000,35.3500000,34.9500000,35.0000000,11800
KMAZ,D,06/04/16,00:00:00,35.1000000,35.3500000,34.8000000,34.8000000,52400
KMAZ,D,07/04/16,00:00:00,35.3000000,37.9500000,35.1500000,37.3500000,456700
KMAZ,D,08/04/16,00:00:00,37.7500000,39.2000000,36.2000000,36.5000000,225400
KMAZ,D,11/04/16,00:00:00,37.0500000,37.3000000,35.6500000,35.7000000,141400
KMAZ,D,12/04/16,00:00:00,35.9000000,37.3000000,35.6500000,36.1500000,79500
KMAZ,D,13/04/16,00:00:00,36.2000000,37.5000000,36.1000000,36.3500000,119200
KMAZ,D,14/04/16,00:00:00,36.6000000,37.7000000,36.5500000,36.6500000,24300
KMAZ,D,15/04/16,00:00:00,36.7000000,37.0000000,36.4000000,36.8000000,76500
KMAZ,D,18/04/16,00:00:00,36.6500000,36.7500000,36.0000000,36.4500000,90300
KMAZ,D,19/04/16,00:00:00,36.4000000,36.9000000,36.4000000,36.5000000,42600
KMAZ,D,20/04/16,00:00:00,37.0000000,37.0000000,36.6000000,36.6500000,16500
KMAZ,D,21/04/16,00:00:00,37.2000000,37.3500000,36.5000000,36.9000000,48900
KMAZ,D,22/04/16,00:00:00,36.7500000,36.8500000,36.5000000,36.8500000,24200
KMAZ,D,25/04/16,00:00:00,36.6500000,37.2500000,36.6500000,37.0000000,17100
KMAZ,D,26/04/16,00:00:00,37.2500000,37.6500000,36.8000000,37.0500000,61300
KMAZ,D,27/04/16,00:00:00,37.1000000,37.1500000,36.6500000,36.9000000,10200
KMAZ,D,28/04/16,00:00:00,36.7500000,36.9500000,35.4500000,36.9500000,83600
KMAZ,D,29/04/16,00:00:00,36.3500000,36.9000000,36.2500000,36.7500000,40200
KMAZ,D,04/05/16,00:00:00,37.0000000,37.3000000,36.5000000,36.8000000,8700
KMAZ,D,05/05/16,00:00:00,36.7500000,36.7500000,36.6500000,36.7000000,12400
KMAZ,D,06/05/16,00:00:00,36.7500000,36.9000000,36.7000000,36.8000000,3200
KMAZ,D,10/05/16,00:00:00,37.0500000,37.0500000,36.4500000,36.8000000,17000
KMAZ,D,11/05/16,00:00:00,36.7000000,37.0000000,36.7000000,36.8000000,50700
KMAZ,D,12/05/16,00:00:00,36.6500000,37.0500000,36.0500000,37.0000000,41800
KMAZ,D,13/05/16,00:00:00,36.8500000,36.9500000,36.2000000,36.8500000,17300
KMAZ,D,16/05/16,00:00:00,36.8500000,37.0000000,36.4000000,36.7000000,13800
KMAZ,D,17/05/16,00:00:00,36.7500000,37.0000000,36.4000000,36.7000000,24500
