<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,04/01/16,00:00:00,2351.0000000,2356.0000000,2309.3000000,2310.2000000,444328
LKOH,D,05/01/16,00:00:00,2310.3000000,2386.7000000,2304.1000000,2380.0000000,640845
LKOH,D,06/01/16,00:00:00,2379.0000000,2403.4000000,2364.6000000,2378.0000000,608353
LKOH,D,11/01/16,00:00:00,2319.8000000,2342.7000000,2257.1000000,2257.9000000,987409
LKOH,D,12/01/16,00:00:00,2230.0000000,2269.2000000,2217.2000000,2223.5000000,1171955
LKOH,D,13/01/16,00:00:00,2235.6000000,2276.7000000,2221.0000000,2225.0000000,910046
LKOH,D,14/01/16,00:00:00,2212.8000000,2231.4000000,2160.0000000,2188.9000000,1474518
LKOH,D,15/01/16,00:00:00,2184.7000000,2194.9000000,2040.1000000,2098.0000000,2419017
LKOH,D,18/01/16,00:00:00,2071.0000000,2155.8000000,2062.3000000,2112.1000000,1307074
LKOH,D,19/01/16,00:00:00,2123.0000000,2198.0000000,2121.0000000,2150.0000000,1429094
LKOH,D,20/01/16,00:00:00,2120.0000000,2147.0000000,2088.0000000,2145.3000000,1603204
LKOH,D,21/01/16,00:00:00,2140.5000000,2233.8000000,2140.0000000,2212.8000000,1436366
LKOH,D,22/01/16,00:00:00,2260.0000000,2367.1000000,2228.8000000,2340.9000000,2034794
LKOH,D,25/01/16,00:00:00,2360.0000000,2360.0000000,2297.9000000,2349.0000000,1149850
LKOH,D,26/01/16,00:00:00,2304.9000000,2358.9000000,2302.2000000,2320.0000000,1190580
LKOH,D,27/01/16,00:00:00,2331.0000000,2400.5000000,2318.0000000,2400.5000000,1241875
LKOH,D,28/01/16,00:00:00,2395.2000000,2495.0000000,2383.2000000,2495.0000000,1812947
LKOH,D,29/01/16,00:00:00,2508.2000000,2569.0000000,2466.3000000,2569.0000000,1914848
LKOH,D,01/02/16,00:00:00,2560.5000000,2562.0000000,2491.5000000,2547.0000000,1305184
LKOH,D,02/02/16,00:00:00,2513.0000000,2559.0000000,2477.5000000,2491.0000000,1207079
LKOH,D,03/02/16,00:00:00,2479.0000000,2502.0000000,2462.5000000,2475.5000000,835918
