<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MFON,D,04/01/16,00:00:00,854.0000000,859.0000000,834.0000000,835.0000000,29370
MFON,D,05/01/16,00:00:00,837.0000000,846.0000000,832.0000000,841.0000000,16450
MFON,D,06/01/16,00:00:00,843.0000000,864.0000000,839.0000000,862.0000000,52690
MFON,D,11/01/16,00:00:00,855.0000000,858.0000000,825.0000000,825.0000000,69520
MFON,D,12/01/16,00:00:00,826.0000000,826.0000000,805.0000000,819.0000000,97390
MFON,D,13/01/16,00:00:00,820.0000000,829.0000000,817.0000000,822.0000000,35670
MFON,D,14/01/16,00:00:00,816.0000000,820.0000000,801.0000000,807.0000000,76220
MFON,D,15/01/16,00:00:00,808.0000000,811.0000000,765.0000000,771.0000000,135700
MFON,D,18/01/16,00:00:00,765.0000000,788.0000000,757.0000000,784.0000000,54760
MFON,D,19/01/16,00:00:00,790.0000000,810.0000000,783.0000000,800.0000000,148650
MFON,D,20/01/16,00:00:00,794.0000000,798.0000000,777.0000000,789.0000000,105600
MFON,D,21/01/16,00:00:00,789.0000000,809.0000000,786.0000000,798.0000000,401180
MFON,D,22/01/16,00:00:00,806.0000000,811.0000000,778.0000000,798.0000000,708920
MFON,D,25/01/16,00:00:00,808.0000000,816.0000000,794.0000000,813.0000000,188790
MFON,D,26/01/16,00:00:00,805.0000000,838.0000000,803.0000000,836.0000000,309090
MFON,D,27/01/16,00:00:00,836.0000000,885.0000000,832.0000000,880.0000000,414420
MFON,D,28/01/16,00:00:00,880.0000000,903.0000000,868.0000000,880.0000000,176880
MFON,D,29/01/16,00:00:00,882.0000000,894.0000000,855.0000000,866.0000000,139970
MFON,D,01/02/16,00:00:00,875.0000000,882.0000000,863.0000000,869.0000000,57840
MFON,D,02/02/16,00:00:00,865.0000000,889.0000000,862.0000000,880.0000000,145940
MFON,D,03/02/16,00:00:00,881.0000000,881.0000000,863.0000000,868.0000000,64010
MFON,D,04/02/16,00:00:00,872.0000000,885.0000000,856.0000000,859.0000000,89180
MFON,D,05/02/16,00:00:00,860.0000000,879.0000000,855.0000000,864.0000000,60890
MFON,D,08/02/16,00:00:00,873.0000000,878.0000000,860.0000000,870.0000000,65160
MFON,D,09/02/16,00:00:00,870.0000000,875.0000000,858.0000000,860.0000000,29860
MFON,D,10/02/16,00:00:00,859.0000000,865.0000000,845.0000000,856.0000000,46480
MFON,D,11/02/16,00:00:00,856.0000000,856.0000000,818.0000000,824.0000000,86360
MFON,D,12/02/16,00:00:00,829.0000000,842.0000000,812.0000000,836.0000000,94130
MFON,D,15/02/16,00:00:00,839.0000000,865.0000000,835.0000000,861.0000000,55150
MFON,D,16/02/16,00:00:00,861.0000000,878.0000000,854.0000000,875.0000000,74040
MFON,D,17/02/16,00:00:00,879.0000000,879.0000000,865.0000000,874.0000000,35300
MFON,D,18/02/16,00:00:00,874.0000000,876.0000000,865.0000000,868.0000000,39370
MFON,D,19/02/16,00:00:00,864.0000000,871.0000000,857.0000000,865.0000000,34950
MFON,D,20/02/16,00:00:00,865.0000000,867.0000000,860.0000000,861.0000000,3180
MFON,D,22/02/16,00:00:00,870.0000000,874.0000000,859.0000000,864.0000000,17390
