<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MGNT,D,04/01/16,00:00:00,11234.0000000,11398.0000000,10949.0000000,11366.0000000,93091
MGNT,D,05/01/16,00:00:00,11241.0000000,11385.0000000,11203.0000000,11350.0000000,118710
MGNT,D,06/01/16,00:00:00,11351.0000000,11351.0000000,11150.0000000,11320.0000000,50898
MGNT,D,11/01/16,00:00:00,11008.0000000,11079.0000000,10502.0000000,10667.0000000,166338
MGNT,D,12/01/16,00:00:00,10600.0000000,10600.0000000,10291.0000000,10367.0000000,193829
MGNT,D,13/01/16,00:00:00,10400.0000000,10515.0000000,10323.0000000,10352.0000000,131260
MGNT,D,14/01/16,00:00:00,10325.0000000,10329.0000000,10021.0000000,10230.0000000,184962
MGNT,D,15/01/16,00:00:00,10214.0000000,10225.0000000,9555.0000000,9640.0000000,285150
MGNT,D,18/01/16,00:00:00,9584.0000000,9940.0000000,9251.0000000,9940.0000000,162027
MGNT,D,19/01/16,00:00:00,10040.0000000,10530.0000000,9990.0000000,10427.0000000,176486
MGNT,D,20/01/16,00:00:00,10299.0000000,10427.0000000,10105.0000000,10350.0000000,252378
MGNT,D,21/01/16,00:00:00,10410.0000000,10971.0000000,10381.0000000,10850.0000000,271957
MGNT,D,22/01/16,00:00:00,11058.0000000,11100.0000000,10729.0000000,11050.0000000,257948
MGNT,D,25/01/16,00:00:00,11080.0000000,11080.0000000,10861.0000000,11042.0000000,140480
MGNT,D,26/01/16,00:00:00,10959.0000000,11080.0000000,10911.0000000,10975.0000000,140337
MGNT,D,27/01/16,00:00:00,11023.0000000,11285.0000000,10982.0000000,11285.0000000,120360
MGNT,D,28/01/16,00:00:00,11252.0000000,11662.0000000,11252.0000000,11485.0000000,186969
MGNT,D,29/01/16,00:00:00,11501.0000000,11720.0000000,11400.0000000,11500.0000000,172816
MGNT,D,01/02/16,00:00:00,11532.0000000,11674.0000000,11258.0000000,11270.0000000,104967
MGNT,D,02/02/16,00:00:00,11230.0000000,11470.0000000,11094.0000000,11150.0000000,159142
MGNT,D,03/02/16,00:00:00,11082.0000000,11200.0000000,10928.0000000,10955.0000000,95307
MGNT,D,04/02/16,00:00:00,11110.0000000,11299.0000000,10805.0000000,10889.0000000,122208
MGNT,D,05/02/16,00:00:00,10905.0000000,11000.0000000,10673.0000000,10765.0000000,123930
MGNT,D,08/02/16,00:00:00,10829.0000000,10854.0000000,10363.0000000,10450.0000000,154115
MGNT,D,09/02/16,00:00:00,10412.0000000,10485.0000000,10000.0000000,10103.0000000,255307
MGNT,D,10/02/16,00:00:00,10024.0000000,10220.0000000,10005.0000000,10070.0000000,175864
MGNT,D,11/02/16,00:00:00,10090.0000000,10198.0000000,9710.0000000,10143.0000000,258425
MGNT,D,12/02/16,00:00:00,10203.0000000,10290.0000000,9977.0000000,10000.0000000,213428
MGNT,D,15/02/16,00:00:00,10150.0000000,10151.0000000,9840.0000000,9920.0000000,170362
MGNT,D,16/02/16,00:00:00,10001.0000000,10058.0000000,9865.0000000,9900.0000000,131876
MGNT,D,17/02/16,00:00:00,9933.0000000,10052.0000000,9732.0000000,10000.0000000,248690
MGNT,D,18/02/16,00:00:00,10050.0000000,10362.0000000,10005.0000000,10318.0000000,263029
MGNT,D,19/02/16,00:00:00,10264.0000000,10415.0000000,10200.0000000,10354.0000000,168436
MGNT,D,20/02/16,00:00:00,10364.0000000,10408.0000000,10310.0000000,10346.0000000,27466
MGNT,D,22/02/16,00:00:00,10379.0000000,10718.0000000,10320.0000000,10655.0000000,132068
MGNT,D,24/02/16,00:00:00,10574.0000000,10675.0000000,10356.0000000,10475.0000000,177103
MGNT,D,25/02/16,00:00:00,10511.0000000,10659.0000000,10350.0000000,10530.0000000,158780
MGNT,D,26/02/16,00:00:00,10620.0000000,10799.0000000,10526.0000000,10589.0000000,169758
MGNT,D,29/02/16,00:00:00,10502.0000000,10680.0000000,10430.0000000,10648.0000000,138667
MGNT,D,01/03/16,00:00:00,10680.0000000,10780.0000000,10525.0000000,10592.0000000,115369
MGNT,D,02/03/16,00:00:00,10650.0000000,10740.0000000,10601.0000000,10695.0000000,104595
MGNT,D,03/03/16,00:00:00,10699.0000000,10808.0000000,10631.0000000,10715.0000000,135626
MGNT,D,04/03/16,00:00:00,10716.0000000,10799.0000000,10640.0000000,10668.0000000,81966
MGNT,D,07/03/16,00:00:00,10708.0000000,10758.0000000,10662.0000000,10715.0000000,60500
MGNT,D,09/03/16,00:00:00,10683.0000000,10755.0000000,10541.0000000,10700.0000000,154821
MGNT,D,10/03/16,00:00:00,10735.0000000,10975.0000000,10730.0000000,10900.0000000,248610
MGNT,D,11/03/16,00:00:00,10912.0000000,10945.0000000,10824.0000000,10900.0000000,106647
MGNT,D,14/03/16,00:00:00,10934.0000000,10950.0000000,10750.0000000,10780.0000000,131396
MGNT,D,15/03/16,00:00:00,10837.0000000,10920.0000000,10805.0000000,10880.0000000,278860
MGNT,D,16/03/16,00:00:00,10861.0000000,10923.0000000,10750.0000000,10788.0000000,108700
MGNT,D,17/03/16,00:00:00,10855.0000000,10990.0000000,10803.0000000,10900.0000000,214652
MGNT,D,18/03/16,00:00:00,10895.0000000,11400.0000000,10881.0000000,11400.0000000,202215
MGNT,D,21/03/16,00:00:00,11379.0000000,11379.0000000,11190.0000000,11255.0000000,185106
MGNT,D,22/03/16,00:00:00,11279.0000000,11310.0000000,11142.0000000,11200.0000000,146415
MGNT,D,23/03/16,00:00:00,11235.0000000,11298.0000000,10992.0000000,11100.0000000,100841
MGNT,D,24/03/16,00:00:00,11079.0000000,11085.0000000,10925.0000000,11041.0000000,150497
MGNT,D,25/03/16,00:00:00,11058.0000000,11118.0000000,10849.0000000,10880.0000000,41369
MGNT,D,28/03/16,00:00:00,10892.0000000,10928.0000000,10635.0000000,10655.0000000,83395
MGNT,D,29/03/16,00:00:00,10654.0000000,10714.0000000,10560.0000000,10575.0000000,113585
MGNT,D,30/03/16,00:00:00,10666.0000000,10671.0000000,10408.0000000,10410.0000000,166655
MGNT,D,31/03/16,00:00:00,10400.0000000,10697.0000000,10306.0000000,10550.0000000,237722
MGNT,D,01/04/16,00:00:00,10508.0000000,10700.0000000,10329.0000000,10470.0000000,234522
MGNT,D,04/04/16,00:00:00,10537.0000000,10614.0000000,10422.0000000,10470.0000000,153403
MGNT,D,05/04/16,00:00:00,10477.0000000,10521.0000000,10366.0000000,10400.0000000,136652
MGNT,D,06/04/16,00:00:00,10432.0000000,10499.0000000,10355.0000000,10390.0000000,110310
MGNT,D,07/04/16,00:00:00,10457.0000000,10473.0000000,10314.0000000,10332.0000000,142309
MGNT,D,08/04/16,00:00:00,10341.0000000,10420.0000000,10318.0000000,10320.0000000,99691
MGNT,D,11/04/16,00:00:00,10360.0000000,10360.0000000,10056.0000000,10254.0000000,196837
MGNT,D,12/04/16,00:00:00,10320.0000000,10320.0000000,10129.0000000,10129.0000000,202499
MGNT,D,13/04/16,00:00:00,10177.0000000,10612.0000000,10167.0000000,10490.0000000,292790
MGNT,D,14/04/16,00:00:00,10487.0000000,10575.0000000,10212.0000000,10240.0000000,197634
MGNT,D,15/04/16,00:00:00,10269.0000000,10300.0000000,10132.0000000,10132.0000000,115895
MGNT,D,18/04/16,00:00:00,10130.0000000,10243.0000000,10012.0000000,10125.0000000,133850
MGNT,D,19/04/16,00:00:00,10160.0000000,10225.0000000,10073.0000000,10075.0000000,129129
MGNT,D,20/04/16,00:00:00,10098.0000000,10169.0000000,10052.0000000,10115.0000000,118500
MGNT,D,21/04/16,00:00:00,10169.0000000,10250.0000000,10102.0000000,10162.0000000,181321
MGNT,D,22/04/16,00:00:00,10207.0000000,10295.0000000,10152.0000000,10295.0000000,169931
MGNT,D,25/04/16,00:00:00,10301.0000000,10310.0000000,9535.0000000,9540.0000000,569336
MGNT,D,26/04/16,00:00:00,9508.0000000,9632.0000000,9126.0000000,9180.0000000,458209
MGNT,D,27/04/16,00:00:00,9203.0000000,9210.0000000,8778.0000000,8825.0000000,352310
MGNT,D,28/04/16,00:00:00,8858.0000000,9140.0000000,8684.0000000,9040.0000000,372910
MGNT,D,29/04/16,00:00:00,9072.0000000,9085.0000000,8888.0000000,9002.0000000,224609
MGNT,D,04/05/16,00:00:00,8901.0000000,9192.0000000,8805.0000000,9006.0000000,229082
