<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PIKK,D,04/01/16,00:00:00,216.6000000,219.0000000,214.1000000,215.5000000,5180
PIKK,D,05/01/16,00:00:00,214.5000000,215.4000000,209.5000000,213.2000000,3690
PIKK,D,06/01/16,00:00:00,212.7000000,214.0000000,212.5000000,212.5000000,2570
PIKK,D,11/01/16,00:00:00,210.9000000,212.4000000,208.2000000,208.9000000,20320
PIKK,D,12/01/16,00:00:00,208.9000000,212.8000000,206.3000000,210.1000000,57410
PIKK,D,13/01/16,00:00:00,210.1000000,212.0000000,206.8000000,211.1000000,29500
PIKK,D,14/01/16,00:00:00,209.3000000,211.1000000,209.1000000,210.0000000,183080
PIKK,D,15/01/16,00:00:00,209.4000000,214.0000000,209.4000000,211.6000000,40200
PIKK,D,18/01/16,00:00:00,208.9000000,213.2000000,208.6000000,211.3000000,6180
PIKK,D,19/01/16,00:00:00,207.3000000,215.0000000,205.0000000,210.0000000,123980
PIKK,D,20/01/16,00:00:00,207.0000000,213.4000000,193.5000000,211.1000000,157200
PIKK,D,21/01/16,00:00:00,210.0000000,212.5000000,208.8000000,210.1000000,84740
PIKK,D,22/01/16,00:00:00,210.0000000,211.8000000,205.1000000,210.0000000,311990
PIKK,D,25/01/16,00:00:00,210.0000000,212.2000000,206.8000000,210.0000000,9420
PIKK,D,26/01/16,00:00:00,210.0000000,213.2000000,210.0000000,212.0000000,4260
PIKK,D,27/01/16,00:00:00,211.9000000,218.6000000,211.1000000,218.6000000,10420
PIKK,D,28/01/16,00:00:00,220.0000000,220.9000000,214.0000000,214.0000000,14100
PIKK,D,29/01/16,00:00:00,215.9000000,216.9000000,208.7000000,210.1000000,64880
PIKK,D,01/02/16,00:00:00,211.5000000,215.8000000,210.2000000,215.0000000,31740
PIKK,D,02/02/16,00:00:00,213.6000000,216.0000000,210.3000000,213.8000000,14210
PIKK,D,03/02/16,00:00:00,210.9000000,212.3000000,209.0000000,210.7000000,19000
PIKK,D,04/02/16,00:00:00,209.6000000,218.5000000,209.5000000,218.4000000,33480
PIKK,D,05/02/16,00:00:00,215.4000000,217.5000000,209.5000000,210.7000000,15980
PIKK,D,08/02/16,00:00:00,210.7000000,213.7000000,207.1000000,208.6000000,15120
PIKK,D,09/02/16,00:00:00,207.6000000,213.0000000,205.5000000,212.6000000,16160
PIKK,D,10/02/16,00:00:00,210.2000000,211.3000000,208.0000000,211.3000000,12160
PIKK,D,11/02/16,00:00:00,208.6000000,209.8000000,204.0000000,208.7000000,16670
PIKK,D,12/02/16,00:00:00,208.7000000,210.0000000,207.0000000,209.9000000,4810
PIKK,D,15/02/16,00:00:00,207.1000000,210.0000000,206.6000000,208.0000000,12480
PIKK,D,16/02/16,00:00:00,208.3000000,209.5000000,205.3000000,206.9000000,2280
PIKK,D,17/02/16,00:00:00,206.7000000,212.9000000,206.7000000,208.7000000,13050
PIKK,D,18/02/16,00:00:00,207.5000000,220.9000000,207.5000000,220.9000000,265180
PIKK,D,19/02/16,00:00:00,221.0000000,229.0000000,218.5000000,229.0000000,51780
PIKK,D,20/02/16,00:00:00,230.7000000,236.0000000,226.5000000,236.0000000,11490
PIKK,D,22/02/16,00:00:00,236.5000000,246.0000000,235.6000000,246.0000000,20830
PIKK,D,24/02/16,00:00:00,245.3000000,250.0000000,242.0000000,250.0000000,113290
PIKK,D,25/02/16,00:00:00,247.4000000,252.9000000,245.0000000,250.0000000,103960
PIKK,D,26/02/16,00:00:00,247.4000000,250.0000000,247.4000000,247.6000000,16580
