<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RBCM,D,04/01/16,00:00:00,4.6900000,4.7950000,4.6400000,4.7300000,91600
RBCM,D,05/01/16,00:00:00,4.7150000,4.7800000,4.7150000,4.7650000,41500
RBCM,D,06/01/16,00:00:00,4.7400000,4.7550000,4.6600000,4.7050000,27800
RBCM,D,11/01/16,00:00:00,4.6450000,4.6700000,4.5100000,4.5950000,373500
RBCM,D,12/01/16,00:00:00,4.5500000,4.5700000,4.4950000,4.5400000,138700
RBCM,D,13/01/16,00:00:00,4.5300000,4.6300000,4.5100000,4.5500000,226700
RBCM,D,14/01/16,00:00:00,4.5200000,4.5550000,4.4950000,4.5350000,89700
RBCM,D,15/01/16,00:00:00,4.5350000,4.5400000,4.3000000,4.4450000,244700
RBCM,D,18/01/16,00:00:00,4.4000000,4.4000000,4.0550000,4.2200000,618300
RBCM,D,19/01/16,00:00:00,4.2100000,4.4150000,4.2100000,4.3150000,143900
RBCM,D,20/01/16,00:00:00,4.3000000,4.3000000,4.1550000,4.2400000,87100
RBCM,D,21/01/16,00:00:00,4.2450000,4.3050000,4.2250000,4.2800000,159900
RBCM,D,22/01/16,00:00:00,4.2700000,4.4000000,4.2700000,4.3650000,559500
RBCM,D,25/01/16,00:00:00,4.3600000,4.6000000,4.2650000,4.3850000,218600
RBCM,D,26/01/16,00:00:00,4.3000000,4.5000000,4.3000000,4.4050000,200700
RBCM,D,27/01/16,00:00:00,4.4000000,4.4400000,4.3950000,4.4000000,84400
RBCM,D,28/01/16,00:00:00,4.4000000,4.4300000,4.3800000,4.4250000,165000
RBCM,D,29/01/16,00:00:00,4.4100000,4.5700000,4.4050000,4.4850000,161400
RBCM,D,01/02/16,00:00:00,4.4750000,4.6000000,4.4750000,4.5700000,92200
RBCM,D,02/02/16,00:00:00,4.5550000,4.5900000,4.4650000,4.5000000,84700
RBCM,D,03/02/16,00:00:00,4.5000000,4.5800000,4.4850000,4.5250000,81400
RBCM,D,04/02/16,00:00:00,4.5200000,4.5850000,4.4500000,4.4850000,109100
RBCM,D,05/02/16,00:00:00,4.4750000,4.5800000,4.4500000,4.4950000,156000
RBCM,D,08/02/16,00:00:00,4.4900000,4.5350000,4.4750000,4.5000000,28200
