<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,D,04/01/16,00:00:00,254.4000000,254.9000000,250.3500000,251.0000000,2463840
ROSN,D,05/01/16,00:00:00,251.5500000,253.8000000,248.7500000,253.2000000,2444740
ROSN,D,06/01/16,00:00:00,253.2000000,255.0000000,250.2500000,252.4000000,1964810
ROSN,D,11/01/16,00:00:00,245.0000000,246.7500000,239.1500000,241.0500000,7838580
ROSN,D,12/01/16,00:00:00,236.9500000,243.4000000,233.9000000,239.9000000,4731200
ROSN,D,13/01/16,00:00:00,240.8000000,243.5000000,238.3000000,239.6000000,3972470
ROSN,D,14/01/16,00:00:00,238.0000000,239.8500000,234.3000000,237.6500000,4019240
ROSN,D,15/01/16,00:00:00,236.7500000,240.0000000,229.5000000,232.1000000,7233780
ROSN,D,18/01/16,00:00:00,229.5000000,234.9000000,229.0500000,232.0000000,4383680
ROSN,D,19/01/16,00:00:00,233.8500000,239.0500000,233.8500000,236.0500000,4617090
ROSN,D,20/01/16,00:00:00,234.0000000,234.3500000,228.3000000,231.9000000,6081600
ROSN,D,21/01/16,00:00:00,232.1000000,238.8000000,231.7500000,237.5000000,5050440
ROSN,D,22/01/16,00:00:00,241.2500000,252.4000000,239.7000000,250.4000000,10115460
ROSN,D,25/01/16,00:00:00,251.4500000,255.2000000,246.2500000,255.0000000,6754790
ROSN,D,26/01/16,00:00:00,251.8500000,256.9000000,251.6500000,255.9000000,7377030
ROSN,D,27/01/16,00:00:00,255.5000000,264.4000000,254.6000000,264.4000000,6259590
ROSN,D,28/01/16,00:00:00,263.7000000,268.9000000,263.6000000,267.3500000,7946880
ROSN,D,29/01/16,00:00:00,268.6000000,272.4500000,263.3500000,272.4500000,8072780
ROSN,D,01/02/16,00:00:00,272.2500000,272.4500000,266.4000000,269.8000000,4342510
ROSN,D,02/02/16,00:00:00,268.6500000,274.2000000,267.7500000,271.8000000,5147180
ROSN,D,03/02/16,00:00:00,270.0500000,275.9500000,268.2000000,273.1000000,4375870
ROSN,D,04/02/16,00:00:00,278.8000000,284.8500000,276.7500000,283.0000000,6060110
ROSN,D,05/02/16,00:00:00,281.3500000,286.5000000,279.0500000,281.5500000,6853670
ROSN,D,08/02/16,00:00:00,281.5500000,282.2000000,273.3000000,276.0500000,6343940
ROSN,D,09/02/16,00:00:00,272.0500000,276.3500000,265.4500000,268.6000000,8107890
ROSN,D,10/02/16,00:00:00,265.9000000,269.0000000,262.3000000,265.5000000,5808400
ROSN,D,11/02/16,00:00:00,264.1500000,266.4000000,259.7000000,264.8500000,4288310
ROSN,D,12/02/16,00:00:00,267.3500000,271.6500000,266.5500000,270.7000000,3828590
ROSN,D,15/02/16,00:00:00,273.3500000,273.8000000,269.6000000,271.0000000,2862860
ROSN,D,16/02/16,00:00:00,272.1000000,279.6500000,271.3000000,277.4000000,6872410
ROSN,D,17/02/16,00:00:00,277.2000000,280.9500000,276.0500000,279.9000000,2822610
ROSN,D,18/02/16,00:00:00,281.5000000,283.8500000,279.4000000,283.3500000,5003280
ROSN,D,19/02/16,00:00:00,280.5000000,281.0500000,275.3000000,278.4000000,3327520
ROSN,D,20/02/16,00:00:00,279.0000000,279.9000000,276.6500000,276.9500000,519680
ROSN,D,22/02/16,00:00:00,277.8500000,286.2000000,277.5000000,285.0000000,4167330
ROSN,D,24/02/16,00:00:00,281.9500000,283.8000000,279.1500000,281.7000000,3741520
ROSN,D,25/02/16,00:00:00,283.6500000,284.6000000,277.1500000,279.5000000,3977830
ROSN,D,26/02/16,00:00:00,281.8000000,284.9000000,281.6000000,283.3000000,5385370
ROSN,D,29/02/16,00:00:00,282.2500000,287.6000000,279.7000000,287.6000000,7096580
ROSN,D,01/03/16,00:00:00,286.8000000,290.5000000,286.0000000,289.9000000,4212740
ROSN,D,02/03/16,00:00:00,290.7500000,291.7000000,285.1000000,287.0000000,3117010
ROSN,D,03/03/16,00:00:00,287.9000000,295.0000000,287.1500000,294.2500000,5069770
ROSN,D,04/03/16,00:00:00,294.5000000,302.2500000,292.6500000,302.2500000,6925130
ROSN,D,07/03/16,00:00:00,303.7500000,304.4000000,297.6500000,301.0000000,3870030
ROSN,D,09/03/16,00:00:00,298.2000000,301.8000000,295.1500000,296.0000000,6058300
ROSN,D,10/03/16,00:00:00,296.7000000,302.1500000,294.6000000,301.5500000,6307440
ROSN,D,11/03/16,00:00:00,302.3000000,304.2500000,299.0000000,301.6000000,7699370
ROSN,D,14/03/16,00:00:00,301.3000000,301.6000000,298.6500000,301.0500000,3967290
ROSN,D,15/03/16,00:00:00,302.4000000,303.6000000,298.6000000,300.6000000,6668270
ROSN,D,16/03/16,00:00:00,300.7500000,301.4500000,297.5500000,301.2500000,4108680
ROSN,D,17/03/16,00:00:00,302.0000000,309.8500000,300.5000000,309.4000000,8809000
ROSN,D,18/03/16,00:00:00,309.4000000,320.0000000,306.4500000,315.5500000,9445580
ROSN,D,21/03/16,00:00:00,314.0000000,314.9000000,310.1000000,313.0000000,3991840
ROSN,D,22/03/16,00:00:00,313.7000000,322.7500000,312.4000000,320.3500000,7052630
ROSN,D,23/03/16,00:00:00,317.9000000,317.9500000,307.3500000,309.2000000,6816500
ROSN,D,24/03/16,00:00:00,307.6000000,308.8000000,302.3500000,304.8000000,5195500
ROSN,D,25/03/16,00:00:00,306.3500000,307.4500000,303.7500000,304.5000000,1880770
ROSN,D,28/03/16,00:00:00,306.4000000,308.1000000,300.6500000,302.5000000,2339960
